school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime
michigan,basketball,2018-01-15,REG,Maryland,Big Ten,W,68,67,,16,4,W 2,Crisler Arena,0.0,23,6:30p
michigan,basketball,2018-01-18,REG,Nebraska,Big Ten,L,52,72,,16,5,L 1,Pinnacle Bank Arena,0.0,23,9:00p
michigan,basketball,2018-01-21,REG,Rutgers,Big Ten,W,62,47,,17,5,W 1,Crisler Arena,0.0,23,12:00p
michigan,basketball,2018-01-25,REG,Purdue (3),Big Ten,L,88,92,,17,6,L 1,Mackey Arena,0.0,25,7:00p
michigan,basketball,2018-01-29,REG,Northwestern,Big Ten,W,58,47,,18,6,W 1,Crisler Arena,0.0,24,7:00p
michigan,basketball,2018-02-03,REG,Minnesota,Big Ten,W,76,73,OT,19,6,W 2,Crisler Arena,0.0,24,2:30p
michigan,basketball,2018-02-06,REG,Northwestern,Big Ten,L,52,61,,19,7,L 1,Allstate Arena,0.0,20,7:00p
michigan,basketball,2018-02-11,REG,Wisconsin,Big Ten,W,83,72,,20,7,W 1,Kohl Center,0.0,20,1:00p
michigan,basketball,2018-02-14,REG,Iowa,Big Ten,W,74,59,,21,7,W 2,Crisler Arena,0.0,22,6:30p
michigan,basketball,2018-02-18,REG,Ohio State (8),Big Ten,W,74,62,,22,7,W 3,Crisler Arena,0.0,22,1:00p
michigan,basketball,2018-02-21,REG,Penn State,Big Ten,W,72,63,,23,7,W 4,Bryce Jordan Center,0.0,17,7:00p
michigan,basketball,2018-02-24,REG,Maryland,Big Ten,W,85,61,,24,7,W 5,Xfinity Center,0.0,17,12:00p
michigan,basketball,2018-03-01,CTOURN,Iowa,Big Ten,W,77,71,OT,25,7,W 6,Madison Square Garden (IV),0.0,15,2:25p
michigan,basketball,2018-03-02,CTOURN,Nebraska,Big Ten,W,77,58,,26,7,W 7,Madison Square Garden (IV),0.0,15,2:30p
michigan,basketball,2018-03-03,CTOURN,Michigan State (2),Big Ten,W,75,64,,27,7,W 8,Madison Square Garden (IV),0.0,15,2:00p
michigan,basketball,2018-03-04,CTOURN,Purdue (8),Big Ten,W,75,66,,28,7,W 9,Madison Square Garden (IV),0.0,15,4:30p
michigan,basketball,2018-03-15,NCAA,Montana,Big Sky,W,61,47,,29,7,W 10,Intrust Bank Arena,0.0,,9:50p
michigan,basketball,2018-03-17,NCAA,Houston (21),AAC,W,64,63,,30,7,W 11,Intrust Bank Arena,0.0,,9:40p
michigan,basketball,2018-03-22,NCAA,Texas A&M,SEC,W,99,72,,31,7,W 12,Staples Center,0.0,,7:37p
michigan,basketball,2018-03-24,NCAA,Florida State,ACC,W,58,54,,32,7,W 13,Staples Center,0.0,,8:49p
michigan,basketball,2018-03-31,NCAA,Loyola (IL),MVC,W,69,57,,33,7,W 14,Alamodome,0.0,,6:09p
michigan,basketball,2018-04-02,NCAA,Villanova (2),Big East,L,62,79,,33,8,L 1,Alamodome,0.0,,9:20p
michigan,basketball,2018-11-06,REG,Norfolk State,MEAC,W,63,44,,1,0,W 1,Crisler Arena,0.0,19,8:30p
michigan,basketball,2018-11-10,REG,Holy Cross,Patriot,W,56,37,,2,0,W 2,Crisler Arena,0.0,19,7:30p
michigan,basketball,2018-11-14,REG,Villanova (8),Big East,W,73,46,,3,0,W 3,Finneran Pavilion,0.0,18,6:30p
michigan,basketball,2018-11-17,REG,George Washington,A-10,W,84,61,,4,0,W 4,Mohegan Sun Arena,0.0,18,12:00p
michigan,basketball,2018-11-18,REG,Providence,Big East,W,66,47,,5,0,W 5,Mohegan Sun Arena,0.0,18,1:30p
michigan,basketball,2018-11-23,REG,Chattanooga,Southern,W,83,55,,6,0,W 6,Crisler Arena,0.0,9,4:00p
michigan,basketball,2018-11-28,REG,North Carolina (11),ACC,W,84,67,,7,0,W 7,Crisler Arena,0.0,7,9:30p
michigan,basketball,2018-12-01,REG,Purdue (19),Big Ten,W,76,57,,8,0,W 8,Crisler Arena,0.0,7,3:30p
michigan,basketball,2018-12-04,REG,Northwestern,Big Ten,W,62,60,,9,0,W 9,Welsh-Ryan Arena,0.0,5,9:00p
michigan,basketball,2018-12-08,REG,South Carolina,SEC,W,89,78,,10,0,W 10,Crisler Arena,0.0,5,12:00p
michigan,basketball,2018-12-15,REG,Western Michigan,MAC,W,70,62,,11,0,W 11,Crisler Arena,0.0,5,2:00p
michigan,basketball,2018-12-22,REG,Air Force,MWC,W,71,50,,12,0,W 12,Crisler Arena,0.0,4,4:00p
michigan,basketball,2018-12-30,REG,Binghamton,AEC,W,74,52,,13,0,W 13,Crisler Arena,0.0,2,12:00p
michigan,basketball,2019-01-03,REG,Penn State,Big Ten,W,68,55,,14,0,W 14,Crisler Arena,0.0,2,7:00p
michigan,basketball,2019-01-06,REG,Indiana (21),Big Ten,W,74,63,,15,0,W 15,Crisler Arena,0.0,2,4:30p
michigan,basketball,2019-01-10,REG,Illinois,Big Ten,W,79,69,,16,0,W 16,State Farm Center,0.0,2,8:00p
michigan,basketball,2019-01-13,REG,Northwestern,Big Ten,W,80,60,,17,0,W 17,Crisler Arena,0.0,2,7:30p
michigan,basketball,2019-01-19,REG,Wisconsin,Big Ten,L,54,64,,17,1,L 1,Kohl Center,0.0,2,12:00p
michigan,basketball,2019-01-22,REG,Minnesota,Big Ten,W,59,57,,18,1,W 1,Crisler Arena,0.0,5,7:00p
michigan,basketball,2019-01-25,REG,Indiana,Big Ten,W,69,46,,19,1,W 2,Assembly Hall,0.0,5,6:30p
michigan,basketball,2019-01-29,REG,Ohio State,Big Ten,W,65,49,,20,1,W 3,Crisler Arena,0.0,5,9:00p
michigan,basketball,2019-02-01,REG,Iowa,Big Ten,L,59,74,,20,2,L 1,Carver-Hawkeye Arena,0.0,5,7:00p
michigan,basketball,2019-02-05,REG,Rutgers,Big Ten,W,77,65,,21,2,W 1,Louis Brown Athletic Center,0.0,7,8:00p
michigan,basketball,2019-02-09,REG,Wisconsin (19),Big Ten,W,61,52,,22,2,W 2,Crisler Arena,0.0,7,12:00p
michigan,basketball,2019-02-12,REG,Penn State,Big Ten,L,69,75,,22,3,L 1,Bryce Jordan Center,0.0,6,8:30p
michigan,basketball,2019-02-16,REG,Maryland (24),Big Ten,W,65,52,,23,3,W 1,Crisler Arena,0.0,6,12:00p
michigan,basketball,2019-02-21,REG,Minnesota,Big Ten,W,69,60,,24,3,W 2,Williams Arena,0.0,7,7:00p
michigan,basketball,2019-02-24,REG,Michigan State (10),Big Ten,L,70,77,,24,4,L 1,Crisler Arena,0.0,7,3:45p
michigan,basketball,2019-02-28,REG,Nebraska,Big Ten,W,82,53,,25,4,W 1,Crisler Arena,0.0,9,7:00p
michigan,basketball,2019-03-03,REG,Maryland (17),Big Ten,W,69,62,,26,4,W 2,Xfinity Center,0.0,9,3:45p
michigan,basketball,2019-03-09,REG,Michigan State (9),Big Ten,L,63,75,,26,5,L 1,Breslin Events Center,0.0,7,8:00p
michigan,basketball,2019-03-15,CTOURN,Iowa,Big Ten,W,74,53,,27,5,W 1,United Center,0.0,10,9:25p
michigan,basketball,2019-03-16,CTOURN,Minnesota,Big Ten,W,76,49,,28,5,W 2,United Center,0.0,10,3:30p
michigan,basketball,2019-03-17,CTOURN,Michigan State (6),Big Ten,L,60,65,,28,6,L 1,United Center,0.0,10,3:30p
michigan,basketball,2019-03-21,NCAA,Montana,Big Sky,W,74,55,,29,6,W 1,Wells Fargo Arena,0.0,,9:20p
michigan,basketball,2019-03-23,NCAA,Florida,SEC,W,64,49,,30,6,W 2,Wells Fargo Arena,0.0,,5:15p
michigan,basketball,2019-03-28,NCAA,Texas Tech (9),Big 12,L,44,63,,30,7,L 1,Honda Center,0.0,,9:39p
michigan state,basketball,2009-11-13,REG,Florida Gulf Coast,A-Sun,W,97,58,,1,0,W 1,Breslin Events Center,0.0,2,
michigan state,basketball,2009-11-17,REG,Gonzaga,WCC,W,75,71,,2,0,W 2,Breslin Events Center,0.0,2,
michigan state,basketball,2009-11-20,REG,Toledo,MAC,W,75,62,,3,0,W 3,Breslin Events Center,0.0,2,
michigan state,basketball,2009-11-22,REG,Valparaiso,Horizon,W,90,60,,4,0,W 4,Breslin Events Center,0.0,2,
michigan state,basketball,2009-11-27,REG,Florida,SEC,L,74,77,,4,1,L 1,Boardwalk Hall,0.0,2,
michigan state,basketball,2009-11-28,REG,Massachusetts,A-10,W,106,68,,5,1,W 1,Boardwalk Hall,0.0,2,
michigan state,basketball,2009-12-01,REG,North Carolina (10),ACC,L,82,89,,5,2,L 1,Dean Smith Center,0.0,9,
michigan state,basketball,2009-12-04,REG,Wofford,Southern,W,72,60,,6,2,W 1,Breslin Events Center,0.0,9,
michigan state,basketball,2009-12-07,REG,The Citadel,Southern,W,69,56,,7,2,W 2,McAlister Field House,0.0,12,
michigan state,basketball,2009-12-10,REG,Oakland,Summit,W,88,57,,8,2,W 3,Breslin Events Center,0.0,12,
michigan state,basketball,2009-12-19,REG,Purdue-Fort Wayne,Summit,W,80,58,,9,2,W 4,Breslin Events Center,0.0,12,
michigan state,basketball,2009-12-22,REG,Texas (2),Big 12,L,68,79,,9,3,L 1,Frank Erwin Center,0.0,9,
michigan state,basketball,2009-12-30,REG,UT Arlington,Southland,W,87,68,,10,3,W 1,Breslin Events Center,0.0,11,
michigan state,basketball,2010-01-02,REG,Northwestern (25),Big Ten,W,91,70,,11,3,W 2,Welsh-Ryan Arena,0.0,11,
michigan state,basketball,2010-01-06,REG,Wisconsin (17),Big Ten,W,54,47,,12,3,W 3,Breslin Events Center,0.0,10,
michigan state,basketball,2010-01-09,REG,Iowa,Big Ten,W,71,53,,13,3,W 4,Carver-Hawkeye Arena,0.0,10,
michigan state,basketball,2010-01-13,REG,Minnesota,Big Ten,W,60,53,,14,3,W 5,Breslin Events Center,0.0,7,
michigan state,basketball,2010-01-16,REG,Illinois,Big Ten,W,73,63,,15,3,W 6,Breslin Events Center,0.0,7,
michigan state,basketball,2010-01-20,REG,Iowa,Big Ten,W,70,63,,16,3,W 7,Breslin Events Center,0.0,6,
michigan state,basketball,2010-01-23,REG,Minnesota,Big Ten,W,65,64,,17,3,W 8,Williams Arena,0.0,6,
michigan state,basketball,2010-01-26,REG,Michigan,Big Ten,W,57,56,,18,3,W 9,Crisler Arena,0.0,5,
michigan state,basketball,2010-01-30,REG,Northwestern,Big Ten,W,79,70,,19,3,W 10,Breslin Events Center,0.0,5,
michigan state,basketball,2010-02-02,REG,Wisconsin (16),Big Ten,L,49,67,,19,4,L 1,Kohl Center,0.0,5,
michigan state,basketball,2010-02-06,REG,Illinois,Big Ten,L,73,78,,19,5,L 2,Assembly Hall,0.0,5,
michigan state,basketball,2010-02-09,REG,Purdue (6),Big Ten,L,64,76,,19,6,L 3,Breslin Events Center,0.0,10,
michigan state,basketball,2010-02-13,REG,Penn State,Big Ten,W,65,54,,20,6,W 1,Bryce Jordan Center,0.0,10,
michigan state,basketball,2010-02-16,REG,Indiana,Big Ten,W,72,58,,21,6,W 2,Assembly Hall,0.0,11,
michigan state,basketball,2010-02-21,REG,Ohio State (9),Big Ten,L,67,74,,21,7,L 1,Breslin Events Center,0.0,11,
michigan state,basketball,2010-02-28,REG,Purdue (3),Big Ten,W,53,44,,22,7,W 1,Mackey Arena,0.0,14,
michigan state,basketball,2010-03-04,REG,Penn State,Big Ten,W,67,65,,23,7,W 2,Breslin Events Center,0.0,11,
michigan state,basketball,2010-03-07,REG,Michigan,Big Ten,W,64,48,,24,7,W 3,Breslin Events Center,0.0,11,
michigan state,basketball,2010-03-12,CTOURN,Minnesota,Big Ten,L,67,72,OT,24,8,L 1,Conseco Fieldhouse,0.0,11,
michigan state,basketball,2010-03-19,NCAA,New Mexico State,WAC,W,70,67,,25,8,W 1,Spokane Veterans Memorial Arena,0.0,,
michigan state,basketball,2010-03-21,NCAA,Maryland (20),ACC,W,85,83,,26,8,W 2,Spokane Veterans Memorial Arena,0.0,,
michigan state,basketball,2010-03-26,NCAA,Northern Iowa,MVC,W,59,52,,27,8,W 3,Edward Jones Dome,0.0,,
michigan state,basketball,2010-03-28,NCAA,Tennessee (15),SEC,W,70,69,,28,8,W 4,Edward Jones Dome,0.0,,
michigan state,basketball,2010-04-03,NCAA,Butler (11),Horizon,L,50,52,,28,9,L 1,Lucas Oil Stadium,0.0,,
michigan state,basketball,2010-11-12,REG,Eastern Michigan,MAC,W,96,66,,1,0,W 1,Breslin Events Center,0.0,2,
michigan state,basketball,2010-11-16,REG,South Carolina,SEC,W,82,73,,2,0,W 2,Breslin Events Center,0.0,2,
michigan state,basketball,2010-11-22,REG,Chaminade,,W,82,74,,3,0,W 3,Lahaina Civic Center,0.0,2,
michigan state,basketball,2010-11-23,REG,Connecticut,Big East,L,67,70,,3,1,L 1,Lahaina Civic Center,0.0,2,
michigan state,basketball,2010-11-24,REG,Washington (13),Pac-10,W,76,71,,4,1,W 1,Lahaina Civic Center,0.0,2,
michigan state,basketball,2010-11-28,REG,Tennessee Tech,OVC,W,73,55,,5,1,W 2,Breslin Events Center,0.0,2,
michigan state,basketball,2010-12-01,REG,Duke (1),ACC,L,79,84,,5,2,L 1,Cameron Indoor Stadium,0.0,6,
michigan state,basketball,2010-12-04,REG,Bowling Green State,MAC,W,74,39,,6,2,W 1,Breslin Events Center,0.0,6,
michigan state,basketball,2010-12-07,REG,Syracuse (8),Big East,L,58,72,,6,3,L 1,Madison Square Garden (IV),0.0,7,
michigan state,basketball,2010-12-11,REG,Oakland,Summit,W,77,76,,7,3,W 1,Palace of Auburn Hills,0.0,7,
michigan state,basketball,2010-12-18,REG,Prairie View,SWAC,W,90,51,,8,3,W 2,Breslin Events Center,0.0,14,
michigan state,basketball,2010-12-22,REG,Texas (18),Big 12,L,55,67,,8,4,L 1,Breslin Events Center,0.0,12,
michigan state,basketball,2010-12-31,REG,Minnesota (14),Big Ten,W,71,62,,9,4,W 1,Breslin Events Center,0.0,20,
michigan state,basketball,2011-01-03,REG,Northwestern,Big Ten,W,65,62,,10,4,W 2,Welsh-Ryan Arena,0.0,18,
michigan state,basketball,2011-01-08,REG,Penn State,Big Ten,L,62,66,,10,5,L 1,Bryce Jordan Center,0.0,18,
michigan state,basketball,2011-01-11,REG,Wisconsin (20),Big Ten,W,64,61,OT,11,5,W 1,Breslin Events Center,0.0,-,
michigan state,basketball,2011-01-15,REG,Northwestern,Big Ten,W,71,67,OT,12,5,W 2,Breslin Events Center,0.0,-,
michigan state,basketball,2011-01-18,REG,Illinois (23),Big Ten,L,62,71,,12,6,L 1,Assembly Hall,0.0,17,
michigan state,basketball,2011-01-22,REG,Purdue (14),Big Ten,L,76,86,,12,7,L 2,Mackey Arena,0.0,17,
michigan state,basketball,2011-01-27,REG,Michigan,Big Ten,L,57,61,,12,8,L 3,Breslin Events Center,0.0,25,
michigan state,basketball,2011-01-30,REG,Indiana,Big Ten,W,84,83,OT,13,8,W 1,Breslin Events Center,0.0,25,
michigan state,basketball,2011-02-02,REG,Iowa,Big Ten,L,52,72,,13,9,L 1,Carver-Hawkeye Arena,0.0,-,
michigan state,basketball,2011-02-06,REG,Wisconsin (19),Big Ten,L,56,82,,13,10,L 2,Kohl Center,0.0,-,
michigan state,basketball,2011-02-10,REG,Penn State,Big Ten,W,75,57,,14,10,W 1,Breslin Events Center,0.0,-,
michigan state,basketball,2011-02-15,REG,Ohio State (2),Big Ten,L,61,71,,14,11,L 1,Value City Arena,0.0,-,
michigan state,basketball,2011-02-19,REG,Illinois,Big Ten,W,61,57,,15,11,W 1,Breslin Events Center,0.0,-,
michigan state,basketball,2011-02-22,REG,Minnesota,Big Ten,W,53,48,,16,11,W 2,Williams Arena,0.0,-,
michigan state,basketball,2011-02-27,REG,Purdue (8),Big Ten,L,47,67,,16,12,L 1,Breslin Events Center,0.0,-,
michigan state,basketball,2011-03-02,REG,Iowa,Big Ten,W,85,66,,17,12,W 1,Breslin Events Center,0.0,-,
michigan state,basketball,2011-03-05,REG,Michigan,Big Ten,L,63,70,,17,13,L 1,Crisler Arena,0.0,-,
michigan state,basketball,2011-03-10,CTOURN,Iowa,Big Ten,W,66,61,,18,13,W 1,,0.0,-,
michigan state,basketball,2011-03-11,CTOURN,Purdue (9),Big Ten,W,74,56,,19,13,W 2,Conseco Fieldhouse,0.0,-,
michigan state,basketball,2011-03-12,CTOURN,Penn State,Big Ten,L,48,61,,19,14,L 1,,0.0,-,
michigan state,basketball,2011-03-17,NCAA,UCLA,Pac-10,L,76,78,,19,15,L 2,St. Pete Times Forum,0.0,,
michigan state,basketball,2011-11-11,REG,North Carolina (1),ACC,L,55,67,,0,1,L 1,USS Carl Vinson,0.0,-,
michigan state,basketball,2011-11-15,REG,Duke (6),ACC,L,69,74,,0,2,L 2,,0.0,-,
michigan state,basketball,2011-11-18,REG,Texas Southern,SWAC,W,76,41,,1,2,W 1,Breslin Events Center,0.0,-,
michigan state,basketball,2011-11-20,REG,Little Rock,Sun Belt,W,69,47,,2,2,W 2,Breslin Events Center,0.0,-,
michigan state,basketball,2011-11-23,REG,Milwaukee,Horizon,W,68,55,,3,2,W 3,Breslin Events Center,0.0,-,
michigan state,basketball,2011-11-27,REG,Eastern Michigan,MAC,W,72,40,,4,2,W 4,Convocation Center,0.0,-,
michigan state,basketball,2011-11-30,REG,Florida State,ACC,W,65,49,,5,2,W 5,Breslin Events Center,0.0,-,
michigan state,basketball,2011-12-04,REG,Omaha,,W,110,68,,6,2,W 6,Breslin Events Center,0.0,-,
michigan state,basketball,2011-12-07,REG,Central Connecticut State,NEC,W,89,69,,7,2,W 7,Breslin Events Center,0.0,-,
michigan state,basketball,2011-12-10,REG,Gonzaga (23),WCC,W,74,67,,8,2,W 8,McCarthey Athletic Center,0.0,-,
michigan state,basketball,2011-12-17,REG,Bowling Green State,MAC,W,74,60,,9,2,W 9,Breslin Events Center,0.0,21,
michigan state,basketball,2011-12-19,REG,Kansas City,Summit,W,89,54,,10,2,W 10,Breslin Events Center,0.0,19,
michigan state,basketball,2011-12-22,REG,Lehigh,Patriot,W,90,81,,11,2,W 11,Breslin Events Center,0.0,19,
michigan state,basketball,2011-12-28,REG,Indiana (13),Big Ten,W,80,65,,12,2,W 12,Breslin Events Center,0.0,16,
michigan state,basketball,2011-12-31,REG,Nebraska,Big Ten,W,68,55,,13,2,W 13,Bob Devaney Sports Center,0.0,16,
michigan state,basketball,2012-01-03,REG,Wisconsin (18),Big Ten,W,63,60,OT,14,2,W 14,Kohl Center,0.0,10,
michigan state,basketball,2012-01-10,REG,Iowa,Big Ten,W,95,61,,15,2,W 15,Breslin Events Center,0.0,6,
michigan state,basketball,2012-01-14,REG,Northwestern,Big Ten,L,74,81,,15,3,L 1,Welsh-Ryan Arena,0.0,6,
michigan state,basketball,2012-01-17,REG,Michigan (20),Big Ten,L,59,60,,15,4,L 2,Crisler Arena,0.0,9,
michigan state,basketball,2012-01-21,REG,Purdue,Big Ten,W,83,58,,16,4,W 1,Breslin Events Center,0.0,9,
michigan state,basketball,2012-01-25,REG,Minnesota,Big Ten,W,68,52,,17,4,W 2,Breslin Events Center,0.0,10,
michigan state,basketball,2012-01-31,REG,Illinois,Big Ten,L,41,42,,17,5,L 1,Assembly Hall,0.0,9,
michigan state,basketball,2012-02-05,REG,Michigan (23),Big Ten,W,64,54,,18,5,W 1,Breslin Events Center,0.0,9,
michigan state,basketball,2012-02-08,REG,Penn State,Big Ten,W,77,57,,19,5,W 2,Breslin Events Center,0.0,11,
michigan state,basketball,2012-02-11,REG,Ohio State (3),Big Ten,W,58,48,,20,5,W 3,Value City Arena,0.0,11,
michigan state,basketball,2012-02-16,REG,Wisconsin (15),Big Ten,W,69,55,,21,5,W 4,Breslin Events Center,0.0,7,
michigan state,basketball,2012-02-19,REG,Purdue,Big Ten,W,76,62,,22,5,W 5,Mackey Arena,0.0,7,
michigan state,basketball,2012-02-22,REG,Minnesota,Big Ten,W,66,61,,23,5,W 6,Williams Arena,0.0,6,
michigan state,basketball,2012-02-25,REG,Nebraska,Big Ten,W,62,34,,24,5,W 7,Breslin Events Center,0.0,6,
michigan state,basketball,2012-02-28,REG,Indiana (18),Big Ten,L,55,70,,24,6,L 1,Assembly Hall,0.0,5,
michigan state,basketball,2012-03-04,REG,Ohio State (10),Big Ten,L,70,72,,24,7,L 2,Breslin Events Center,0.0,5,
michigan state,basketball,2012-03-09,CTOURN,Iowa,Big Ten,W,92,75,,25,7,W 1,Conseco Fieldhouse,0.0,8,
michigan state,basketball,2012-03-10,CTOURN,Wisconsin (14),Big Ten,W,65,52,,26,7,W 2,,0.0,8,
michigan state,basketball,2012-03-11,CTOURN,Ohio State (7),Big Ten,W,68,64,,27,7,W 3,,0.0,8,
michigan state,basketball,2012-03-16,NCAA,Long Island University,NEC,W,89,67,,28,7,W 4,Nationwide Arena,0.0,,
michigan state,basketball,2012-03-18,NCAA,Saint Louis,A-10,W,65,61,,29,7,W 5,Nationwide Arena,0.0,,
michigan state,basketball,2012-03-22,NCAA,Louisville (17),Big East,L,44,57,,29,8,L 1,US Airways Center,0.0,,
michigan state,basketball,2012-11-09,REG,Connecticut,Big East,L,62,66,,0,1,L 1,Harry A. Gampel Pavilion,0.0,14,
michigan state,basketball,2012-11-13,REG,Kansas (7),Big 12,W,67,64,,1,1,W 1,Georgia Dome,0.0,21,
michigan state,basketball,2012-11-18,REG,Texas Southern,SWAC,W,69,41,,2,1,W 2,Breslin Events Center,0.0,21,
michigan state,basketball,2012-11-20,REG,Boise State,MWC,W,74,70,,3,1,W 3,Breslin Events Center,0.0,15,
michigan state,basketball,2012-11-23,REG,Oakland,Summit,W,70,52,,4,1,W 4,Breslin Events Center,0.0,15,
michigan state,basketball,2012-11-25,REG,Louisiana,Sun Belt,W,63,60,,5,1,W 5,Breslin Events Center,0.0,15,
michigan state,basketball,2012-11-28,REG,Miami (FL),ACC,L,59,67,,5,2,L 1,BankUnited Center,0.0,13,
michigan state,basketball,2012-12-01,REG,Nicholls State,Southland,W,84,39,,6,2,W 1,Breslin Events Center,0.0,13,
michigan state,basketball,2012-12-05,REG,Arkansas-Pine Bluff,SWAC,W,76,44,,7,2,W 2,Breslin Events Center,0.0,19,
michigan state,basketball,2012-12-08,REG,Loyola (IL),Horizon,W,73,61,,8,2,W 3,Breslin Events Center,0.0,19,
michigan state,basketball,2012-12-15,REG,Tuskegee,,W,92,56,,9,2,W 4,Breslin Events Center,0.0,19,
michigan state,basketball,2012-12-18,REG,Bowling Green State,MAC,W,64,53,,10,2,W 5,Stroh Center,0.0,20,
michigan state,basketball,2012-12-22,REG,Texas,Big 12,W,67,56,,11,2,W 6,Breslin Events Center,0.0,20,
michigan state,basketball,2012-12-31,REG,Minnesota (9),Big Ten,L,63,76,,11,3,L 1,Williams Arena,0.0,18,
michigan state,basketball,2013-01-05,REG,Purdue,Big Ten,W,84,61,,12,3,W 1,Breslin Events Center,0.0,18,
michigan state,basketball,2013-01-10,REG,Iowa,Big Ten,W,62,59,,13,3,W 2,Carver-Hawkeye Arena,0.0,22,
michigan state,basketball,2013-01-13,REG,Nebraska,Big Ten,W,66,56,,14,3,W 3,Breslin Events Center,0.0,22,
michigan state,basketball,2013-01-16,REG,Penn State,Big Ten,W,81,72,,15,3,W 4,Bryce Jordan Center,0.0,18,
michigan state,basketball,2013-01-19,REG,Ohio State (11),Big Ten,W,59,56,,16,3,W 5,Breslin Events Center,0.0,18,
michigan state,basketball,2013-01-22,REG,Wisconsin,Big Ten,W,49,47,,17,3,W 6,Kohl Center,0.0,13,
michigan state,basketball,2013-01-27,REG,Indiana (7),Big Ten,L,70,75,,17,4,L 1,Assembly Hall,0.0,13,
michigan state,basketball,2013-01-31,REG,Illinois,Big Ten,W,80,75,,18,4,W 1,Breslin Events Center,0.0,13,
michigan state,basketball,2013-02-06,REG,Minnesota (18),Big Ten,W,61,50,,19,4,W 2,Breslin Events Center,0.0,12,
michigan state,basketball,2013-02-09,REG,Purdue,Big Ten,W,78,65,,20,4,W 3,Mackey Arena,0.0,12,
michigan state,basketball,2013-02-12,REG,Michigan (4),Big Ten,W,75,52,,21,4,W 4,Breslin Events Center,0.0,8,
michigan state,basketball,2013-02-16,REG,Nebraska,Big Ten,W,73,64,,22,4,W 5,Bob Devaney Sports Center,0.0,8,
michigan state,basketball,2013-02-19,REG,Indiana (1),Big Ten,L,68,72,,22,5,L 1,Breslin Events Center,0.0,4,
michigan state,basketball,2013-02-24,REG,Ohio State (18),Big Ten,L,60,68,,22,6,L 2,Value City Arena,0.0,4,
michigan state,basketball,2013-03-03,REG,Michigan (4),Big Ten,L,57,58,,22,7,L 3,Crisler Arena,0.0,9,
michigan state,basketball,2013-03-07,REG,Wisconsin (22),Big Ten,W,58,43,,23,7,W 1,Breslin Events Center,0.0,10,
michigan state,basketball,2013-03-10,REG,Northwestern,Big Ten,W,71,61,,24,7,W 2,Breslin Events Center,0.0,10,
michigan state,basketball,2013-03-15,CTOURN,Iowa,Big Ten,W,59,56,,25,7,W 3,United Center,0.0,8,
michigan state,basketball,2013-03-16,CTOURN,Ohio State (10),Big Ten,L,58,61,,25,8,L 1,United Center,0.0,8,
michigan state,basketball,2013-03-21,NCAA,Valparaiso,Horizon,W,65,54,,26,8,W 1,Palace of Auburn Hills,0.0,,
michigan state,basketball,2013-03-23,NCAA,Memphis (19),CUSA,W,70,48,,27,8,W 2,Palace of Auburn Hills,0.0,,
michigan state,basketball,2013-03-29,NCAA,Duke (6),ACC,L,61,71,,27,9,L 1,Lucas Oil Stadium,0.0,,
michigan state,basketball,2013-11-08,REG,McNeese State,Southland,W,98,56,,1,0,W 1,Breslin Events Center,0.0,2,
michigan state,basketball,2013-11-12,REG,Kentucky (1),SEC,W,78,74,,2,0,W 2,United Center,0.0,2,
michigan state,basketball,2013-11-15,REG,Columbia,Ivy,W,62,53,,3,0,W 3,Breslin Events Center,0.0,2,
michigan state,basketball,2013-11-18,REG,Portland,WCC,W,82,67,,4,0,W 4,Breslin Events Center,0.0,1,
michigan state,basketball,2013-11-22,REG,Virginia Tech,ACC,W,96,77,,5,0,W 5,Barclays Center,0.0,1,
michigan state,basketball,2013-11-23,REG,Oklahoma,Big 12,W,87,76,,6,0,W 6,Barclays Center,0.0,1,
michigan state,basketball,2013-11-29,REG,Mount St. Mary's,NEC,W,98,65,,7,0,W 7,Breslin Events Center,0.0,1,
michigan state,basketball,2013-12-04,REG,North Carolina,ACC,L,65,79,,7,1,L 1,Breslin Events Center,0.0,1,
michigan state,basketball,2013-12-14,REG,Oakland,Horizon,W,67,63,,8,1,W 1,,0.0,5,
michigan state,basketball,2013-12-17,REG,North Florida,A-Sun,W,78,48,,9,1,W 2,Breslin Events Center,0.0,5,
michigan state,basketball,2013-12-21,REG,Texas,Big 12,W,92,78,,10,1,W 3,Frank Erwin Center,0.0,5,
michigan state,basketball,2013-12-28,REG,New Orleans,Southland,W,101,48,,11,1,W 4,Breslin Events Center,0.0,5,
michigan state,basketball,2013-12-31,REG,Penn State,Big Ten,W,79,63,,12,1,W 5,Bryce Jordan Center,0.0,5,
michigan state,basketball,2014-01-04,REG,Indiana,Big Ten,W,73,56,,13,1,W 6,Assembly Hall,0.0,5,
michigan state,basketball,2014-01-07,REG,Ohio State (3),Big Ten,W,72,68,OT,14,1,W 7,Breslin Events Center,0.0,5,
michigan state,basketball,2014-01-11,REG,Minnesota,Big Ten,W,87,75,OT,15,1,W 8,Breslin Events Center,0.0,5,
michigan state,basketball,2014-01-15,REG,Northwestern,Big Ten,W,54,40,,16,1,W 9,Welsh-Ryan Arena,0.0,4,
michigan state,basketball,2014-01-18,REG,Illinois,Big Ten,W,78,62,,17,1,W 10,Assembly Hall,0.0,4,
