school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime
michigan,basketball,2013-11-21,REG,Long Beach State,Big West,W,85,61,,3,1,W 1,Roberto Clemente Coliseum,0.0,15,
michigan,basketball,2013-11-22,REG,Florida State,ACC,W,82,80,OT,4,1,W 2,Roberto Clemente Coliseum,0.0,15,
michigan,basketball,2013-11-24,REG,Charlotte,CUSA,L,61,63,,4,2,L 1,Roberto Clemente Coliseum,0.0,15,
michigan,basketball,2013-11-29,REG,Coppin State,MEAC,W,87,45,,5,2,W 1,Crisler Arena,0.0,22,
michigan,basketball,2013-12-03,REG,Duke (10),ACC,L,69,79,,5,3,L 1,Cameron Indoor Stadium,0.0,22,
michigan,basketball,2013-12-07,REG,Houston Baptist,Southland,W,107,53,,6,3,W 1,Crisler Arena,0.0,22,
michigan,basketball,2013-12-14,REG,Arizona (1),Pac-12,L,70,72,,6,4,L 1,Crisler Arena,0.0,-,
michigan,basketball,2013-12-21,REG,Stanford,Pac-12,W,68,65,,7,4,W 1,Barclays Center,0.0,-,
michigan,basketball,2013-12-28,REG,Holy Cross,Patriot,W,88,66,,8,4,W 2,Crisler Arena,0.0,-,
michigan,basketball,2014-01-02,REG,Minnesota,Big Ten,W,63,60,,9,4,W 3,Williams Arena,0.0,-,
michigan,basketball,2014-01-05,REG,Northwestern,Big Ten,W,74,51,,10,4,W 4,Crisler Arena,0.0,-,
michigan,basketball,2014-01-09,REG,Nebraska,Big Ten,W,71,70,,11,4,W 5,Pinnacle Bank Arena,0.0,-,
michigan,basketball,2014-01-14,REG,Penn State,Big Ten,W,80,67,,12,4,W 6,Crisler Arena,0.0,-,
michigan,basketball,2014-01-18,REG,Wisconsin (3),Big Ten,W,77,70,,13,4,W 7,Kohl Center,0.0,-,
michigan,basketball,2014-01-22,REG,Iowa (10),Big Ten,W,75,67,,14,4,W 8,Crisler Arena,0.0,21,
michigan,basketball,2014-01-25,REG,Michigan State (3),Big Ten,W,80,75,,15,4,W 9,Breslin Events Center,0.0,21,
michigan,basketball,2014-01-30,REG,Purdue,Big Ten,W,75,66,,16,4,W 10,Crisler Arena,0.0,10,
michigan,basketball,2014-02-02,REG,Indiana,Big Ten,L,52,63,,16,5,L 1,Assembly Hall,0.0,10,
michigan,basketball,2014-02-05,REG,Nebraska,Big Ten,W,79,50,,17,5,W 1,Crisler Arena,0.0,10,
michigan,basketball,2014-02-08,REG,Iowa (17),Big Ten,L,67,85,,17,6,L 1,Carver-Hawkeye Arena,0.0,10,
michigan,basketball,2014-02-11,REG,Ohio State (22),Big Ten,W,70,60,,18,6,W 1,Value City Arena,0.0,15,
michigan,basketball,2014-02-16,REG,Wisconsin (21),Big Ten,L,62,75,,18,7,L 1,Crisler Arena,0.0,15,
michigan,basketball,2014-02-23,REG,Michigan State (13),Big Ten,W,79,70,,19,7,W 1,Crisler Arena,0.0,20,
michigan,basketball,2014-02-26,REG,Purdue,Big Ten,W,77,76,OT,20,7,W 2,Mackey Arena,0.0,16,
