game_id,school,sport,game_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance
65,michigan,football,2013-10-12 21:00:00+00:00,regular,penn state,L,40,43,OT,18.0,,2013-10-13 08:00:00+00:00,107884.0
66,michigan,football,2013-10-19 19:30:00+00:00,regular,indiana,W,63,47,,,,2013-10-20 06:30:00+00:00,109503.0
67,michigan,football,2013-11-02 19:30:00+00:00,regular,michigan state,L,6,29,,21.0,22.0,2013-11-03 06:30:00+00:00,76306.0
68,michigan,football,2013-11-09 20:30:00+00:00,regular,nebraska,L,13,17,,,,2013-11-10 07:30:00+00:00,112204.0
69,michigan,football,2013-11-16 20:30:00+00:00,regular,northwestern,W,27,19,OT,,,2013-11-17 07:30:00+00:00,47330.0
70,michigan,football,2013-11-23 17:00:00+00:00,regular,iowa,L,21,24,,,,2013-11-24 04:00:00+00:00,65708.0
71,michigan,football,2013-11-30 17:00:00+00:00,regular,ohio state,L,41,42,,,3.0,2013-12-01 04:00:00+00:00,113511.0
72,michigan,football,2014-08-30 16:00:00+00:00,regular,appalachian state,W,52,14,,,,2014-08-31 03:00:00+00:00,106811.0
73,michigan,football,2014-09-06 23:30:00+00:00,regular,notre dame,L,0,31,,,16.0,2014-09-07 10:30:00+00:00,80795.0
74,michigan,football,2014-09-13 19:30:00+00:00,regular,miami (oh),W,34,10,,,,2014-09-14 06:30:00+00:00,102824.0
75,michigan,football,2014-09-20 19:30:00+00:00,regular,utah,L,10,26,,,,2014-09-21 06:30:00+00:00,103890.0
76,michigan,football,2014-09-27 19:30:00+00:00,regular,minnesota,L,14,30,,,,2014-09-28 06:30:00+00:00,102926.0
77,michigan,football,2014-10-04 23:00:00+00:00,regular,rutgers,L,24,26,,,,2014-10-05 10:00:00+00:00,53327.0
78,michigan,football,2014-10-11 23:00:00+00:00,regular,penn state,W,18,13,,,,2014-10-12 10:00:00+00:00,113085.0
79,michigan,football,2014-10-25 19:30:00+00:00,regular,michigan state,L,11,35,,,8.0,2014-10-26 06:30:00+00:00,76331.0
80,michigan,football,2014-11-01 19:30:00+00:00,regular,indiana,W,34,10,,,,2014-11-02 06:30:00+00:00,103111.0
81,michigan,football,2014-11-08 20:30:00+00:00,regular,northwestern,W,10,9,,,,2014-11-09 07:30:00+00:00,42429.0
82,michigan,football,2014-11-22 20:30:00+00:00,regular,maryland,L,16,23,,,,2014-11-23 07:30:00+00:00,101717.0
83,michigan,football,2014-11-29 17:00:00+00:00,regular,ohio state,L,28,42,,,6.0,2014-11-30 04:00:00+00:00,108610.0
