INCIDENT_DATE,INCIDENT_HOUR,INCIDENT_ID,OFFENSE_ID,OFFENSE_NAME,AGENCY_ID,Day,School,SEASON
2009-12-17 16:00:00,16:00:00,50957304,55764824,Theft From Building,9040,3,michigan,Fall
2009-03-03 23:00:00,23:00:00,50950645,55761960,Drug/Narcotic Violations,9040,1,michigan,Winter
2009-06-01 00:00:00,0:00:00,50953509,55757357,Destruction/Damage/Vandalism of Property,9040,0,michigan,Spring
2009-08-14 09:00:00,9:00:00,50953584,55762026,Theft From Motor Vehicle,9040,4,michigan,Summer
2009-09-19 17:00:00,17:00:00,50954526,55762040,All Other Larceny,9040,5,michigan,Summer
2009-01-28 11:00:00,11:00:00,50949732,55761936,Theft From Building,9040,2,michigan,Winter
2009-01-26 13:00:00,13:00:00,50949725,55761935,Theft From Building,9040,0,michigan,Winter
2009-02-03 12:00:00,12:00:00,50950563,55763565,Theft From Coin-Operated Machine or Device,9040,1,michigan,Winter
2009-02-20 17:00:00,17:00:00,50950611,55772048,Destruction/Damage/Vandalism of Property,9040,4,michigan,Winter
2009-02-27 11:00:00,11:00:00,50950632,55756547,Theft From Building,9040,4,michigan,Winter
2009-06-16 12:00:00,12:00:00,50953437,55763985,Theft From Building,9040,1,michigan,Spring
2009-06-10 15:00:00,15:00:00,50953482,55772118,Destruction/Damage/Vandalism of Property,9040,2,michigan,Spring
2009-06-15 15:00:00,15:00:00,50952624,55766750,Destruction/Damage/Vandalism of Property,9040,0,michigan,Spring
2009-01-12 16:00:00,16:00:00,50949702,55755985,Theft From Building,9040,0,michigan,Winter
2009-01-24 14:00:00,14:00:00,50949716,55755990,Theft From Building,9040,5,michigan,Winter
2009-02-27 19:00:00,19:00:00,50950633,55756003,Theft From Building,9040,4,michigan,Winter
2009-03-10 18:00:00,18:00:00,50950665,55763576,Theft From Building,9040,1,michigan,Winter
2009-04-29 16:00:00,16:00:00,50952483,55761984,Drug/Narcotic Violations,9040,2,michigan,Spring
2009-07-24 15:00:00,15:00:00,50953525,55763996,All Other Larceny,9040,4,michigan,Summer
2009-12-16 06:00:00,6:00:00,50956482,55766071,Counterfeiting/Forgery,9040,2,michigan,Fall
2009-12-20 13:00:00,13:00:00,50957317,55768815,All Other Larceny,9040,6,michigan,Fall
2009-01-30 16:00:00,16:00:00,50950554,55759746,Theft From Building,9040,4,michigan,Winter
2009-02-27 08:00:00,8:00:00,50956484,55766072,Embezzlement,9040,4,michigan,Winter
2009-03-10 20:00:00,20:00:00,50950674,55772052,Stolen Property Offenses,9040,1,michigan,Winter
2009-04-29 14:00:00,14:00:00,50952487,55757325,Arson,9040,2,michigan,Spring
2009-06-11 18:00:00,18:00:00,50953438,55756807,All Other Larceny,9040,3,michigan,Spring
2009-08-04 04:00:00,4:00:00,50953542,55777395,Theft From Building,9040,1,michigan,Summer
2009-08-08 19:00:00,19:00:00,50953558,55764000,Theft From Building,9040,5,michigan,Summer
2009-09-24 13:00:00,13:00:00,50954545,55762779,Simple Assault,9040,3,michigan,Fall
2009-10-08 20:00:00,20:00:00,50955401,55757390,Theft From Building,9040,3,michigan,Fall
2009-10-13 20:00:00,20:00:00,50955417,55756862,Theft From Building,9040,1,michigan,Fall
2009-11-18 15:00:00,15:00:00,50956372,55764457,Destruction/Damage/Vandalism of Property,9040,2,michigan,Fall
2009-02-23 12:00:00,12:00:00,50950615,55761953,All Other Larceny,9040,0,michigan,Winter
2009-03-06 12:00:00,12:00:00,50950653,55756008,Theft From Building,9040,4,michigan,Winter
2009-05-12 14:00:00,14:00:00,50952522,55756049,Simple Assault,9040,1,michigan,Spring
2009-08-15 18:00:00,18:00:00,50954432,55778172,Theft From Building,9040,5,michigan,Summer
2009-12-11 13:00:00,13:00:00,50956451,55756893,Destruction/Damage/Vandalism of Property,9040,4,michigan,Fall
2009-01-11 22:00:00,22:00:00,50949670,55759737,Destruction/Damage/Vandalism of Property,9040,6,michigan,Winter
2009-01-26 18:00:00,18:00:00,50949726,55759741,Theft From Building,9040,0,michigan,Winter
2009-03-12 11:00:00,11:00:00,50950688,55763583,Theft From Building,9040,3,michigan,Winter
2009-07-11 14:00:00,14:00:00,50953486,55772119,Destruction/Damage/Vandalism of Property,9040,5,michigan,Summer
2009-08-20 16:00:00,16:00:00,50955441,55756867,Theft From Building,9040,3,michigan,Summer
2009-08-28 08:00:00,8:00:00,50954519,55767547,Theft From Building,9040,4,michigan,Summer
2009-09-12 17:00:00,17:00:00,50955371,55778185,All Other Larceny,9040,5,michigan,Summer
2009-09-16 08:00:00,8:00:00,50955391,55764435,Simple Assault,9040,2,michigan,Summer
2009-10-17 15:00:00,15:00:00,50955435,55769019,Simple Assault,9040,5,michigan,Fall
