game_id,school,sport,start_dt,season_type,opponent,result,team_points,opp_points,ot,rank,opponent_rank,end_inc_window,attendance,venue,excitement_index,incident_id,offense_id,offense_name,incident_date
298,michigan,basketball,2010-03-12 12:00:00,CTOURN,ohio state (5),0,68,69,0,-,5.0,2010-03-12 22:00:00,,,,55981372.0,61576237.0,Theft From Building,2010-03-12 15:00:00
370,michigan,basketball,2012-11-13 20:00:00,regular,cleveland state,1,77,47,0,5,,2012-11-14 06:00:00,,,,,,,
753,michigan-state,basketball,2013-01-16 19:00:00,regular,penn state,1,81,72,0,18,,2013-01-17 05:00:00,,,,,,,
865,michigan-state,basketball,2016-01-10 12:00:00,regular,penn state,1,92,65,0,5,,2016-01-10 22:00:00,,,,,,,
913,michigan-state,basketball,2017-03-01 21:00:00,regular,illinois,0,70,73,0,-,,2017-03-02 07:00:00,,,,,,,
58,michigan,football,2013-11-23 12:00:00,regular,iowa,0,21,24,0,,,2013-11-23 23:00:00,65708.0,Kinnick Stadium,7.45366520013952,69063609.0,75221358.0,Drug/Narcotic Violations,2013-11-23 14:00:00
58,michigan,football,2013-11-23 12:00:00,regular,iowa,0,21,24,0,,,2013-11-23 23:00:00,65708.0,Kinnick Stadium,7.45366520013952,69063610.0,75218178.0,Drug/Narcotic Violations,2013-11-23 23:00:00
188,michigan state,football,2013-10-26 15:30:00,regular,illinois,1,42,3,0,,,2013-10-27 02:30:00,45895.0,Memorial Stadium,3.82911727523221,68584637.0,77581188.0,All Other Larceny,2013-10-27 02:00:00
188,michigan state,football,2013-10-26 15:30:00,regular,illinois,1,42,3,0,,,2013-10-27 02:30:00,45895.0,Memorial Stadium,3.82911727523221,68584659.0,77591860.0,Simple Assault,2013-10-26 22:00:00
188,michigan state,football,2013-10-26 15:30:00,regular,illinois,1,42,3,0,,,2013-10-27 02:30:00,45895.0,Memorial Stadium,3.82911727523221,68584638.0,77590635.0,Robbery,2013-10-27 02:00:00
188,michigan state,football,2013-10-26 15:30:00,regular,illinois,1,42,3,0,,,2013-10-27 02:30:00,45895.0,Memorial Stadium,3.82911727523221,68584649.0,77593987.0,Rape,2013-10-27 01:00:00
726,michigan-state,basketball,2012-02-22 20:30:00,regular,minnesota,1,66,61,0,6,,2012-02-23 06:30:00,,,,,,,
837,michigan-state,basketball,2015-02-26 19:00:00,regular,minnesota,0,90,96,1,-,,2015-02-27 05:00:00,,,,,,,
11,michigan,football,2009-11-21 12:00:00,regular,ohio state,0,10,21,0,,10.0,2009-11-21 23:00:00,0.0,Michigan Stadium,,50956382.0,55778214.0,Drug/Narcotic Violations,2009-11-21 12:00:00
11,michigan,football,2009-11-21 12:00:00,regular,ohio state,0,10,21,0,,10.0,2009-11-21 23:00:00,0.0,Michigan Stadium,,50956385.0,55778215.0,Shoplifting,2009-11-21 15:00:00
11,michigan,football,2009-11-21 12:00:00,regular,ohio state,0,10,21,0,,10.0,2009-11-21 23:00:00,0.0,Michigan Stadium,,50957313.0,55764825.0,All Other Larceny,2009-11-21 12:00:00
11,michigan,football,2009-11-21 12:00:00,regular,ohio state,0,10,21,0,,10.0,2009-11-21 23:00:00,0.0,Michigan Stadium,,50956383.0,55766056.0,Theft From Motor Vehicle,2009-11-21 12:00:00
11,michigan,football,2009-11-21 12:00:00,regular,ohio state,0,10,21,0,,10.0,2009-11-21 23:00:00,0.0,Michigan Stadium,,50956388.0,55778216.0,Destruction/Damage/Vandalism of Property,2009-11-21 17:00:00
11,michigan,football,2009-11-21 12:00:00,regular,ohio state,0,10,21,0,,10.0,2009-11-21 23:00:00,0.0,Michigan Stadium,,50956387.0,55769038.0,Destruction/Damage/Vandalism of Property,2009-11-21 22:00:00
33,michigan,football,2011-11-12 15:30:00,regular,illinois,1,31,14,0,24.0,,2011-11-13 02:30:00,0.0,Memorial Stadium,2.19487037938032,,,,
204,michigan state,football,2014-11-22 12:00:00,regular,rutgers,1,45,3,0,11.0,,2014-11-22 23:00:00,70902.0,Spartan Stadium,0.4695424005,73419518.0,79488595.0,Theft From Motor Vehicle,2014-11-22 12:00:00
204,michigan state,football,2014-11-22 12:00:00,regular,rutgers,1,45,3,0,11.0,,2014-11-22 23:00:00,70902.0,Spartan Stadium,0.4695424005,73419516.0,79483156.0,Drug/Narcotic Violations,2014-11-22 21:00:00
204,michigan state,football,2014-11-22 12:00:00,regular,rutgers,1,45,3,0,11.0,,2014-11-22 23:00:00,70902.0,Spartan Stadium,0.4695424005,73419519.0,79476392.0,All Other Larceny,2014-11-22 16:00:00
204,michigan state,football,2014-11-22 12:00:00,regular,rutgers,1,45,3,0,11.0,,2014-11-22 23:00:00,70902.0,Spartan Stadium,0.4695424005,73419520.0,79490068.0,Destruction/Damage/Vandalism of Property,2014-11-22 22:00:00
421,michigan,basketball,2014-01-09 21:00:00,regular,nebraska,1,71,70,0,-,,2014-01-10 07:00:00,,,,,,,
575,michigan,basketball,2018-02-06 19:00:00,regular,northwestern,0,52,61,0,20,,2018-02-07 05:00:00,,,,,,,
781,michigan-state,basketball,2013-12-17 19:00:00,regular,north florida,1,78,48,0,5,,2013-12-18 05:00:00,,,,,,,
872,michigan-state,basketball,2016-02-06 14:00:00,regular,michigan,1,89,73,0,10,,2016-02-07 00:00:00,,,,,,,
888,michigan-state,basketball,2016-11-23 19:00:00,regular,st. john's (ny),1,73,62,0,24,,2016-11-24 05:00:00,,,,,,,
83,michigan,football,2015-11-28 12:00:00,regular,ohio state,0,13,42,0,10.0,8.0,2015-11-28 23:00:00,111829.0,Michigan Stadium,2.8441349819,80210057.0,86828658.0,Destruction/Damage/Vandalism of Property,2015-11-28 14:00:00
83,michigan,football,2015-11-28 12:00:00,regular,ohio state,0,13,42,0,10.0,8.0,2015-11-28 23:00:00,111829.0,Michigan Stadium,2.8441349819,80210055.0,86828656.0,Simple Assault,2015-11-28 13:00:00
83,michigan,football,2015-11-28 12:00:00,regular,ohio state,0,13,42,0,10.0,8.0,2015-11-28 23:00:00,111829.0,Michigan Stadium,2.8441349819,80210054.0,86827554.0,Destruction/Damage/Vandalism of Property,2015-11-28 12:00:00
83,michigan,football,2015-11-28 12:00:00,regular,ohio state,0,13,42,0,10.0,8.0,2015-11-28 23:00:00,111829.0,Michigan Stadium,2.8441349819,80210056.0,86828657.0,Drug/Narcotic Violations,2015-11-28 14:00:00
110,michigan,football,2018-09-15 15:30:00,regular,smu,1,45,20,0,19.0,,2018-09-16 02:30:00,0.0,Michigan Stadium,0.4473367567,101604551.0,125244640.0,Theft From Building,2018-09-15 23:00:00
110,michigan,football,2018-09-15 15:30:00,regular,smu,1,45,20,0,19.0,,2018-09-16 02:30:00,0.0,Michigan Stadium,0.4473367567,101595789.0,125248149.0,Destruction/Damage/Vandalism of Property,2018-09-15 23:00:00
150,michigan state,football,2010-10-16 12:00:00,regular,illinois,1,26,6,0,13.0,,2010-10-16 23:00:00,0.0,Spartan Stadium,,56573724.0,57873530.0,Counterfeiting/Forgery,2010-10-16 14:00:00
150,michigan state,football,2010-10-16 12:00:00,regular,illinois,1,26,6,0,13.0,,2010-10-16 23:00:00,0.0,Spartan Stadium,,56573727.0,57868075.0,All Other Larceny,2010-10-16 19:00:00
150,michigan state,football,2010-10-16 12:00:00,regular,illinois,1,26,6,0,13.0,,2010-10-16 23:00:00,0.0,Spartan Stadium,,56573723.0,57873529.0,Pocket-picking,2010-10-16 12:00:00
150,michigan state,football,2010-10-16 12:00:00,regular,illinois,1,26,6,0,13.0,,2010-10-16 23:00:00,0.0,Spartan Stadium,,56573729.0,57868076.0,Theft From Motor Vehicle,2010-10-16 22:00:00
150,michigan state,football,2010-10-16 12:00:00,regular,illinois,1,26,6,0,13.0,,2010-10-16 23:00:00,0.0,Spartan Stadium,,56573728.0,57875007.0,All Other Larceny,2010-10-16 19:00:00
369,michigan,basketball,2012-11-12 21:00:00,regular,iupui,1,91,54,0,5,,2012-11-13 07:00:00,,,,,,,
413,michigan,basketball,2013-11-29 15:00:00,regular,coppin state,1,87,45,0,22,,2013-11-30 01:00:00,,,,69064407.0,75223108.0,Drug/Narcotic Violations,2013-11-29 22:00:00
508,michigan,basketball,2016-03-11 12:00:00,CTOURN,indiana (10),1,72,69,0,-,10.0,2016-03-11 22:00:00,,,,86027237.0,94074451.0,Theft From Building,2016-03-11 17:00:00
541,michigan,basketball,2017-03-01 19:00:00,regular,northwestern,0,65,67,0,-,,2017-03-02 05:00:00,,,,93506338.0,115987510.0,Burglary/Breaking & Entering,2017-03-01 20:00:00
