,school,sport,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,attendance,rank,gametime,Game String,US State,start_dt,opponent_rank,end_inc_window
10,michigan,basketball,2009-12-22,REG,Coppin State,MEAC,W,76,46,,6,5,W 1,Crisler Arena,0.0,-,,Coppin State on December 22 7:00 PM,MICH.,2009-12-22 19:00:00,,2009-12-23 05:00:00
11,michigan,basketball,2009-12-31,REG,Indiana,Big Ten,L,65,71,,6,6,L 1,Assembly Hall,0.0,-,,Indiana on December 31 12:00 PM,IND.,2009-12-31 12:00:00,,2009-12-31 22:00:00
12,michigan,basketball,2010-01-03,REG,Ohio State (15),Big Ten,W,73,64,,7,6,W 1,Crisler Arena,0.0,-,,Ohio State on January 3 4:30 PM,MICH.,2010-01-03 16:30:00,15,2010-01-04 02:30:00
13,michigan,basketball,2010-01-07,REG,Penn State,Big Ten,W,64,55,,8,6,W 2,Bryce Jordan Center,0.0,-,,Penn State on January 7 7:00 PM,PA.,2010-01-07 19:00:00,,2010-01-08 05:00:00
14,michigan,basketball,2010-01-10,REG,Northwestern,Big Ten,L,62,68,,8,7,L 1,Crisler Arena,0.0,-,,Northwestern on January 10 2:30 PM,MICH.,2010-01-10 14:30:00,,2010-01-11 00:30:00
15,michigan,basketball,2010-01-14,REG,Indiana,Big Ten,W,69,45,,9,7,W 1,Crisler Arena,0.0,-,,Indiana on January 14 9:00 PM,MICH.,2010-01-14 21:00:00,,2010-01-15 07:00:00
16,michigan,basketball,2010-01-17,REG,Connecticut (15),Big East,W,68,63,,10,7,W 2,Crisler Arena,0.0,-,,Connecticut on January 17 1:30 PM,MICH.,2010-01-17 13:30:00,15,2010-01-17 23:30:00
17,michigan,basketball,2010-01-20,REG,Wisconsin (18),Big Ten,L,48,54,,10,8,L 1,Kohl Center,0.0,-,,Wisconsin on January 20 7:30 PM,WIS.,2010-01-20 20:30:00,18,2010-01-21 06:30:00
18,michigan,basketball,2010-01-23,REG,Purdue (13),Big Ten,L,59,69,,10,9,L 2,Mackey Arena,0.0,-,,Purdue on January 23 4:00 PM,IND.,2010-01-23 16:00:00,13,2010-01-24 02:00:00
19,michigan,basketball,2010-01-26,REG,Michigan State (5),Big Ten,L,56,57,,10,10,L 3,Crisler Arena,0.0,-,,Michigan State on January 26 7:00 PM,MICH.,2010-01-26 19:00:00,5,2010-01-27 05:00:00
20,michigan,basketball,2010-01-30,REG,Iowa,Big Ten,W,60,46,,11,10,W 1,Crisler Arena,0.0,-,,Iowa on January 30 4:35 PM,MICH.,2010-01-30 16:35:00,,2010-01-31 02:35:00
21,michigan,basketball,2010-02-02,REG,Northwestern,Big Ten,L,52,67,,11,11,L 1,Welsh-Ryan Arena,0.0,-,,Northwestern on February 2 6:00 PM,ILL.,2010-02-02 19:00:00,,2010-02-03 05:00:00
22,michigan,basketball,2010-02-06,REG,Wisconsin (16),Big Ten,L,44,62,,11,12,L 2,Crisler Arena,0.0,-,,Wisconsin on February 6 4:00 PM,MICH.,2010-02-06 16:00:00,16,2010-02-07 02:00:00
23,michigan,basketball,2010-02-11,REG,Minnesota,Big Ten,W,71,63,,12,12,W 1,Williams Arena,0.0,-,,Minnesota on February 11 6:00 PM,MINN.,2010-02-11 19:00:00,,2010-02-12 05:00:00
24,michigan,basketball,2010-02-16,REG,Iowa,Big Ten,W,80,78,OT,13,12,W 2,Carver-Hawkeye Arena,0.0,-,,Iowa on February 16 8:05 PM,IOWA,2010-02-16 21:05:00,,2010-02-17 07:05:00
25,michigan,basketball,2010-02-20,REG,Penn State,Big Ten,L,51,55,,13,13,L 1,Crisler Arena,0.0,-,,Penn State on February 20 6:00 PM,MICH.,2010-02-20 18:00:00,,2010-02-21 04:00:00
26,michigan,basketball,2010-02-23,REG,Illinois,Big Ten,L,44,51,,13,14,L 2,Crisler Arena,0.0,-,,Illinois on February 23 7:00 PM,MICH.,2010-02-23 19:00:00,,2010-02-24 05:00:00
27,michigan,basketball,2010-02-27,REG,Ohio State (9),Big Ten,L,55,66,,13,15,L 3,Value City Arena,0.0,-,,Ohio State on February 27 12:00 PM,OHIO,2010-02-27 12:00:00,9,2010-02-27 22:00:00
28,michigan,basketball,2010-03-02,REG,Minnesota,Big Ten,W,83,55,,14,15,W 1,Crisler Arena,0.0,-,,Minnesota on March 2 7:00 PM,MICH.,2010-03-02 19:00:00,,2010-03-03 05:00:00
29,michigan,basketball,2010-03-07,REG,Michigan State (11),Big Ten,L,48,64,,14,16,L 1,Breslin Events Center,0.0,-,,Michigan State on March 7 4:00 PM,MICH.,2010-03-07 16:00:00,11,2010-03-08 02:00:00
30,michigan,basketball,2010-03-11,CTOURN,Iowa,Big Ten,W,59,52,,15,16,W 1,Conseco Fieldhouse,0.0,-,,Iowa (#9) on March 11 2:30 PM,IND.,2010-03-11 14:30:00,,2010-03-12 00:30:00
31,michigan,basketball,2010-03-12,CTOURN,Ohio State (5),Big Ten,L,68,69,,15,17,L 1,Conseco Fieldhouse,0.0,-,,Ohio State (#1) on March 12 12:00 PM,IND.,2010-03-12 12:00:00,5,2010-03-12 22:00:00
32,michigan,basketball,2010-11-13,REG,South Carolina Upstate,A-Sun,W,66,35,,1,0,W 1,Crisler Arena,0.0,-,,South Carolina Upstate on November 13 7:00 PM,MICH.,2010-11-13 19:00:00,,2010-11-14 05:00:00
33,michigan,basketball,2010-11-18,REG,Bowling Green State,MAC,W,69,50,,2,0,W 2,Crisler Arena,0.0,-,,Bowling Green on November 18 7:00 PM,MICH.,2010-11-18 19:00:00,,2010-11-19 05:00:00
34,michigan,basketball,2010-11-21,REG,Gardner-Webb,Big South,W,80,58,,3,0,W 3,Crisler Arena,0.0,-,,Gardner-Webb on November 21 2:00 PM,MICH.,2010-11-21 14:00:00,,2010-11-22 00:00:00
35,michigan,basketball,2010-11-26,REG,Syracuse (9),Big East,L,50,53,,3,1,L 1,Boardwalk Hall,0.0,-,,Syracuse on November 26 8:00 PM,N.J.,2010-11-26 20:00:00,9,2010-11-27 06:00:00
36,michigan,basketball,2010-11-27,REG,UTEP,CUSA,L,56,65,,3,2,L 2,Boardwalk Hall,0.0,-,,UTEP on November 27 5:30 PM,N.J.,2010-11-27 17:30:00,,2010-11-28 03:30:00
37,michigan,basketball,2010-11-30,REG,Clemson,ACC,W,69,61,,4,2,W 1,Littlejohn Coliseum,0.0,-,,Clemson on November 30 9:00 PM,S.C.,2010-11-30 21:00:00,,2010-12-01 07:00:00
38,michigan,basketball,2010-12-04,REG,Harvard,Ivy,W,65,62,,5,2,W 2,Crisler Arena,0.0,-,,Harvard on December 4 1:00 PM,MICH.,2010-12-04 13:00:00,,2010-12-04 23:00:00
39,michigan,basketball,2010-12-06,REG,Concordia (MI),,W,86,65,,6,2,W 3,Crisler Arena,0.0,-,,Concordia (Mich.) on December 6 7:30 PM,MICH.,2010-12-06 19:30:00,,2010-12-07 05:30:00
40,michigan,basketball,2010-12-10,REG,Utah,MWC,W,75,64,,7,2,W 4,Crisler Arena,0.0,-,,Utah on December 10 6:30 PM,MICH.,2010-12-10 18:30:00,,2010-12-11 04:30:00
41,michigan,basketball,2010-12-14,REG,North Carolina Central,Ind,W,64,44,,8,2,W 5,Crisler Arena,0.0,-,,North Carolina Central on December 14 7:00 PM,MICH.,2010-12-14 19:00:00,,2010-12-15 05:00:00
42,michigan,basketball,2010-12-18,REG,Oakland,Summit,W,69,51,,9,2,W 6,Crisler Arena,0.0,-,,Oakland on December 18 12:00 PM,MICH.,2010-12-18 12:00:00,,2010-12-18 22:00:00
43,michigan,basketball,2010-12-23,REG,Bryant,NEC,W,87,71,,10,2,W 7,Crisler Arena,0.0,-,,Bryant on December 23 6:00 PM,MICH.,2010-12-23 18:00:00,,2010-12-24 04:00:00
44,michigan,basketball,2010-12-28,REG,Purdue (12),Big Ten,L,57,80,,10,3,L 1,Crisler Arena,0.0,-,,Purdue on December 28 2:00 PM,MICH.,2010-12-28 14:00:00,12,2010-12-29 00:00:00
45,michigan,basketball,2011-01-02,REG,Penn State,Big Ten,W,76,69,,11,3,W 1,Crisler Arena,0.0,-,,Penn State on January 2 4:00 PM,MICH.,2011-01-02 16:00:00,,2011-01-03 02:00:00
46,michigan,basketball,2011-01-05,REG,Wisconsin,Big Ten,L,50,66,,11,4,L 1,Kohl Center,0.0,-,,Wisconsin on January 5 7:30 PM,WIS.,2011-01-05 20:30:00,,2011-01-06 06:30:00
47,michigan,basketball,2011-01-09,REG,Kansas (3),Big 12,L,60,67,OT,11,5,L 2,Crisler Arena,0.0,-,,Kansas on January 9 4:30 PM,MICH.,2011-01-09 16:30:00,3,2011-01-10 02:30:00
48,michigan,basketball,2011-01-12,REG,Ohio State (2),Big Ten,L,64,68,,11,6,L 3,Crisler Arena,0.0,-,,Ohio State on January 12 6:30 PM,MICH.,2011-01-12 18:30:00,2,2011-01-13 04:30:00
49,michigan,basketball,2011-01-15,REG,Indiana,Big Ten,L,61,80,,11,7,L 4,Assembly Hall,0.0,-,,Indiana on January 15 8:00 PM,IND.,2011-01-15 20:00:00,,2011-01-16 06:00:00
50,michigan,basketball,2011-01-18,REG,Northwestern,Big Ten,L,60,74,,11,8,L 5,Welsh-Ryan Arena,0.0,-,,Northwestern on January 18 8:00 PM,ILL.,2011-01-18 21:00:00,,2011-01-19 07:00:00
51,michigan,basketball,2011-01-22,REG,Minnesota (15),Big Ten,L,64,69,,11,9,L 6,Crisler Arena,0.0,-,,Minnesota on January 22 7:00 PM,MICH.,2011-01-22 19:00:00,15,2011-01-23 05:00:00
52,michigan,basketball,2011-01-27,REG,Michigan State (25),Big Ten,W,61,57,,12,9,W 1,Breslin Events Center,0.0,-,,Michigan State on January 27 7:00 PM,MICH.,2011-01-27 19:00:00,25,2011-01-28 05:00:00
53,michigan,basketball,2011-01-30,REG,Iowa,Big Ten,W,87,73,,13,9,W 2,Crisler Arena,0.0,-,,Iowa on January 30 4:00 PM,MICH.,2011-01-30 16:00:00,,2011-01-31 02:00:00
