,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,US State,start_dt
31,michigan,3/12/2010,CTOURN,Ohio State (5),Big Ten,L,68,69,,15,17,L 1,Conseco Fieldhouse,-,,Ohio State (#1) on March 12 12:00 PM,IND.,2010-03-12 12:00:00
32,michigan,11/13/2010,REG,South Carolina Upstate,A-Sun,W,66,35,,1,0,W 1,Crisler Arena,-,,South Carolina Upstate on November 13 7:00 PM,MICH.,2010-11-13 19:00:00
33,michigan,11/18/2010,REG,Bowling Green State,MAC,W,69,50,,2,0,W 2,Crisler Arena,-,,Bowling Green on November 18 7:00 PM,MICH.,2010-11-18 19:00:00
34,michigan,11/21/2010,REG,Gardner-Webb,Big South,W,80,58,,3,0,W 3,Crisler Arena,-,,Gardner-Webb on November 21 2:00 PM,MICH.,2010-11-21 14:00:00
35,michigan,11/26/2010,REG,Syracuse (9),Big East,L,50,53,,3,1,L 1,Boardwalk Hall,-,,Syracuse on November 26 8:00 PM,N.J.,2010-11-26 20:00:00
36,michigan,11/27/2010,REG,UTEP,CUSA,L,56,65,,3,2,L 2,Boardwalk Hall,-,,UTEP on November 27 5:30 PM,N.J.,2010-11-27 17:30:00
37,michigan,11/30/2010,REG,Clemson,ACC,W,69,61,,4,2,W 1,Littlejohn Coliseum,-,,Clemson on November 30 9:00 PM,S.C.,2010-11-30 21:00:00
38,michigan,12/4/2010,REG,Harvard,Ivy,W,65,62,,5,2,W 2,Crisler Arena,-,,Harvard on December 4 1:00 PM,MICH.,2010-12-04 13:00:00
39,michigan,12/6/2010,REG,Concordia (MI),,W,86,65,,6,2,W 3,Crisler Arena,-,,Concordia (Mich.) on December 6 7:30 PM,MICH.,2010-12-06 19:30:00
40,michigan,12/10/2010,REG,Utah,MWC,W,75,64,,7,2,W 4,Crisler Arena,-,,Utah on December 10 6:30 PM,MICH.,2010-12-10 18:30:00
41,michigan,12/14/2010,REG,North Carolina Central,Ind,W,64,44,,8,2,W 5,Crisler Arena,-,,North Carolina Central on December 14 7:00 PM,MICH.,2010-12-14 19:00:00
42,michigan,12/18/2010,REG,Oakland,Summit,W,69,51,,9,2,W 6,Crisler Arena,-,,Oakland on December 18 12:00 PM,MICH.,2010-12-18 12:00:00
43,michigan,12/23/2010,REG,Bryant,NEC,W,87,71,,10,2,W 7,Crisler Arena,-,,Bryant on December 23 6:00 PM,MICH.,2010-12-23 18:00:00
44,michigan,12/28/2010,REG,Purdue (12),Big Ten,L,57,80,,10,3,L 1,Crisler Arena,-,,Purdue on December 28 2:00 PM,MICH.,2010-12-28 14:00:00
45,michigan,1/2/2011,REG,Penn State,Big Ten,W,76,69,,11,3,W 1,Crisler Arena,-,,Penn State on January 2 4:00 PM,MICH.,2011-01-02 16:00:00
