,index,Unnamed: 0,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,Start time,US State
66,427,447,michigan-state,2011-03-05,REG,Michigan,Big Ten,L,63,70,,17,13,L 1,Crisler Arena,-,,MICHIGAN,2:00 PM,MICH.
67,428,449,michigan-state,2011-03-10,CTOURN,Iowa,Big Ten,W,66,61,,18,13,W 1,,-,,IOWA,5:00 PM,IND.
68,429,450,michigan-state,2011-03-11,CTOURN,Purdue (9),Big Ten,W,74,56,,19,13,W 2,Conseco Fieldhouse,-,,PURDUE,6:30 PM,IND.
69,430,451,michigan-state,2011-03-12,CTOURN,Penn State,Big Ten,L,48,61,,19,14,L 1,,-,,PENN STATE,4:15 PM,IND.
70,431,453,michigan-state,2011-03-17,NCAA,UCLA,Pac-10,L,76,78,,19,15,L 2,St. Pete Times Forum,,,UCLA,9:20 PM,FLA.
71,432,454,michigan-state,2011-11-11,REG,North Carolina (1),ACC,L,55,67,,0,1,L 1,USS Carl Vinson,-,,NORTH CAROLINA,7:00 PM,CALIF.
72,433,455,michigan-state,2011-11-15,REG,Duke (6),ACC,L,69,74,,0,2,L 2,,-,,DUKE,7:00 PM,N.Y.
73,434,456,michigan-state,2011-11-18,REG,Texas Southern,SWAC,W,76,41,,1,2,W 1,Breslin Events Center,-,,TEXAS SOUTHERN,6:30 PM,MICH.
74,435,457,michigan-state,2011-11-20,REG,Little Rock,Sun Belt,W,69,47,,2,2,W 2,Breslin Events Center,-,,ARKANSAS-LITTLE ROCK,6:00 PM,MICH.
75,436,458,michigan-state,2011-11-23,REG,Milwaukee,Horizon,W,68,55,,3,2,W 3,Breslin Events Center,-,,MILWAUKEE,7:00 PM,MICH.
76,437,459,michigan-state,2011-11-27,REG,Eastern Michigan,MAC,W,72,40,,4,2,W 4,Convocation Center,-,,EASTERN MICHIGAN,12:00 PM,MICH.
77,438,460,michigan-state,2011-11-30,REG,Florida State,ACC,W,65,49,,5,2,W 5,Breslin Events Center,-,,FLORIDA STATE,7:30 PM,MICH.
78,439,461,michigan-state,2011-12-04,REG,Omaha,,W,110,68,,6,2,W 6,Breslin Events Center,-,,NEBRASKA-OMAHA,2:00 PM,MICH.
79,440,462,michigan-state,2011-12-07,REG,Central Connecticut State,NEC,W,89,69,,7,2,W 7,Breslin Events Center,-,,CENTRAL CONNECTICUT,7:00 PM,MICH.
80,441,463,michigan-state,2011-12-10,REG,Gonzaga (23),WCC,W,74,67,,8,2,W 8,McCarthey Athletic Center,-,,GONZAGA,9:00 PM,WASH.
81,442,464,michigan-state,2011-12-17,REG,Bowling Green State,MAC,W,74,60,,9,2,W 9,Breslin Events Center,21,,BOWLING GREEN,7:00 PM,MICH.
82,443,465,michigan-state,2011-12-19,REG,Kansas City,Summit,W,89,54,,10,2,W 10,Breslin Events Center,19,,UMKC,8:30 PM,MICH.
83,444,466,michigan-state,2011-12-22,REG,Lehigh,Patriot,W,90,81,,11,2,W 11,Breslin Events Center,19,,LEHIGH,9:00 PM,MICH.
84,445,467,michigan-state,2011-12-28,REG,Indiana (13),Big Ten,W,80,65,,12,2,W 12,Breslin Events Center,16,,INDIANA,7:30 PM,MICH.
85,446,468,michigan-state,2011-12-31,REG,Nebraska,Big Ten,W,68,55,,13,2,W 13,Bob Devaney Sports Center,16,,NEBRASKA,3:00 PM,NEB.
86,447,469,michigan-state,2012-01-03,REG,Wisconsin (18),Big Ten,W,63,60,OT,14,2,W 14,Kohl Center,10,,WISCONSIN,7:00 PM,WIS.
87,448,470,michigan-state,2012-01-10,REG,Iowa,Big Ten,W,95,61,,15,2,W 15,Breslin Events Center,6,,IOWA,7:00 PM,MICH.
88,449,471,michigan-state,2012-01-14,REG,Northwestern,Big Ten,L,74,81,,15,3,L 1,Welsh-Ryan Arena,6,,NORTHWESTERN,3:00 PM,ILL.
