,index,Unnamed: 0,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,Start time,US State
164,525,551,michigan-state,2014-01-28,REG,Iowa (15),Big Ten,W,71,69,OT,19,2,W 1,Carver-Hawkeye Arena,7,,IOWA,7:00 PM,IOWA
165,526,552,michigan-state,2014-02-01,REG,Georgetown,Big East,L,60,64,,19,3,L 1,,7,,GEORGETOWN,3:00 PM,N.Y.
166,527,553,michigan-state,2014-02-06,REG,Penn State,Big Ten,W,82,67,,20,3,W 1,Breslin Events Center,9,,PENN STATE,9:00 PM,MICH.
167,528,554,michigan-state,2014-02-09,REG,Wisconsin,Big Ten,L,58,60,,20,4,L 1,Kohl Center,9,,WISCONSIN,1:00 PM,WIS.
168,529,555,michigan-state,2014-02-13,REG,Northwestern,Big Ten,W,85,70,,21,4,W 1,Breslin Events Center,9,,NORTHWESTERN,7:00 PM,MICH.
169,530,556,michigan-state,2014-02-16,REG,Nebraska,Big Ten,L,51,60,,21,5,L 1,Breslin Events Center,9,,NEBRASKA,3:00 PM,MICH.
170,531,557,michigan-state,2014-02-20,REG,Purdue,Big Ten,W,94,79,,22,5,W 1,Mackey Arena,13,,PURDUE,7:00 PM,IND.
171,532,558,michigan-state,2014-02-23,REG,Michigan (20),Big Ten,L,70,79,,22,6,L 1,Crisler Arena,13,,MICHIGAN,12:00 PM,MICH.
172,533,559,michigan-state,2014-03-01,REG,Illinois,Big Ten,L,46,53,,22,7,L 2,Breslin Events Center,18,,ILLINOIS,4:00 PM,MICH.
173,534,560,michigan-state,2014-03-06,REG,Iowa (24),Big Ten,W,86,76,,23,7,W 1,Breslin Events Center,22,,IOWA,9:00 PM,MICH.
174,535,561,michigan-state,2014-03-09,REG,Ohio State,Big Ten,L,67,69,,23,8,L 1,Value City Arena,22,,OHIO STATE,4:30 PM,OHIO
175,536,563,michigan-state,2014-03-14,CTOURN,Northwestern,Big Ten,W,67,51,,24,8,W 1,,22,,NORTHWESTERN,9:00 PM,IND.
176,537,564,michigan-state,2014-03-15,CTOURN,Wisconsin (12),Big Ten,W,83,75,,25,8,W 2,,22,,WISCONSIN,4:10 PM,IND.
177,538,565,michigan-state,2014-03-16,CTOURN,Michigan (8),Big Ten,W,69,55,,26,8,W 3,Conseco Fieldhouse,22,,MICHIGAN,3:30 PM,IND.
178,539,567,michigan-state,2014-03-20,NCAA,Delaware,CAA,W,93,78,,27,8,W 4,Spokane Veterans Memorial Arena,,,DELAWARE,4:40 PM,WASH.
179,540,568,michigan-state,2014-03-22,NCAA,Harvard,Ivy,W,80,73,,28,8,W 5,Spokane Veterans Memorial Arena,,,HARVARD,8:40 PM,WASH.
180,541,569,michigan-state,2014-03-28,NCAA,Virginia (3),ACC,W,61,59,,29,8,W 6,Madison Square Garden (IV),,,VIRGINIA,9:57 PM,N.Y.
181,542,570,michigan-state,2014-03-30,NCAA,Connecticut (18),AAC,L,54,60,,29,9,L 1,Madison Square Garden (IV),,,CONNECTICUT,2:20 PM,N.Y.
182,543,571,michigan-state,2014-11-14,REG,Navy,Patriot,W,64,59,,1,0,W 1,Alumni Hall,18,9:40p,NAVY,9:00 PM,MD.
183,544,572,michigan-state,2014-11-18,REG,Duke (4),ACC,L,71,81,,1,1,L 1,Bankers Life Fieldhouse,19,7:00p,DUKE (CHAMPIONS CLASSIC),7:00 PM,IND.
184,545,573,michigan-state,2014-11-21,REG,Loyola (IL),MVC,W,87,52,,2,1,W 1,Breslin Events Center,19,7:00p,LOYOLA (CHICAGO),7:00 PM,MICH.
185,546,574,michigan-state,2014-11-24,REG,Santa Clara,WCC,W,79,52,,3,1,W 2,Breslin Events Center,20,7:00p,SANTA CLARA (ORLANDO CLASSIC),7:00 PM,MICH.
186,547,575,michigan-state,2014-11-27,REG,Rider,MAAC,W,77,45,,4,1,W 3,HP Field House,20,6:35p,RIDER (ORLANDO CLASSIC),6:30 PM,FLA.
187,548,576,michigan-state,2014-11-28,REG,Marquette,Big East,W,79,68,,5,1,W 4,HP Field House,20,9:00p,MICHIGAN STATE @ MARQUETTE,9:00 PM,FLORIDA
188,549,577,michigan-state,2014-11-30,REG,Kansas (11),Big 12,L,56,61,,5,2,L 1,HP Field House,20,1:00p,KANSAS,1:00 PM,FLA.
189,550,578,michigan-state,2014-12-03,REG,Notre Dame,ACC,L,78,79,OT,5,3,L 2,Purcell Pavilion at the Joyce Center,19,7:15p,NOTRE DAME (ACC/BIG TEN CHALLENGE),7:15 PM,IND.
190,551,579,michigan-state,2014-12-06,REG,Arkansas-Pine Bluff,SWAC,W,85,52,,6,3,W 1,Breslin Events Center,19,2:15p,ARKANSAS-PINE BLUFF,2:15 PM,MICH.
191,552,580,michigan-state,2014-12-14,REG,Oakland,Horizon,W,87,61,,7,3,W 2,Breslin Events Center,-,8:00p,OAKLAND,8:00 PM,MICH.
