INCIDENT_DATE,INCIDENT_HOUR,INCIDENT_ID,NAME,AGENCY_ID,Day
2013-03-10,14.0,69058045,Theft From Building,9040,Sunday
2013-03-01,0.0,69059896,False Pretenses/Swindle/Confidence Game,9040,Friday
2013-04-26,20.0,69059058,All Other Larceny,9040,Friday
2013-09-17,8.0,69062598,All Other Larceny,9040,Tuesday
2013-09-27,0.0,69062706,Theft From Building,9040,Friday
2013-02-28,16.0,69057232,Theft From Building,9040,Thursday
2013-04-11,9.0,69058994,Destruction/Damage/Vandalism of Property,9040,Thursday
2013-04-27,0.0,69062611,Theft From Building,9040,Saturday
2013-09-19,5.0,69062609,Simple Assault,9040,Thursday
2013-11-07,14.0,69063563,Theft From Building,9040,Thursday
2013-01-08,5.0,69056258,Simple Assault,9040,Tuesday
2013-06-07,13.0,69059942,Theft From Building,9040,Friday
2013-07-22,7.0,69061696,Theft From Building,9040,Monday
2013-07-02,20.0,69060775,Theft From Building,9040,Tuesday
2013-09-25,12.0,69062659,Theft From Building,9040,Wednesday
2013-10-26,0.0,69063530,All Other Larceny,9040,Saturday
2013-10-03,16.0,69062668,Destruction/Damage/Vandalism of Property,9040,Thursday
2013-12-11,22.0,69064443,Drug/Narcotic Violations,9040,Wednesday
2013-01-19,1.0,69056302,Simple Assault,9040,Saturday
2013-02-17,0.0,69057224,Theft From Building,9040,Sunday
2013-02-12,8.0,69057168,Theft From Building,9040,Tuesday
2013-04-06,16.0,69058957,Drug/Narcotic Violations,9040,Saturday
2013-07-29,14.0,69060858,Drug/Narcotic Violations,9040,Monday
2013-09-24,2.0,69062631,Theft From Motor Vehicle,9040,Tuesday
2013-10-29,9.0,69063535,Fondling,9040,Tuesday
2013-10-07,14.0,69062681,Destruction/Damage/Vandalism of Property,9040,Monday
2013-10-10,8.0,69062695,Theft From Building,9040,Thursday
2013-11-17,2.0,69063589,Drug/Narcotic Violations,9040,Sunday
2013-01-05,21.0,69056251,Simple Assault,9040,Saturday
2013-02-26,4.0,69057219,Drug/Narcotic Violations,9040,Tuesday
2013-04-07,4.0,69058961,Simple Assault,9040,Sunday
2013-04-15,16.0,69059007,Theft From Building,9040,Monday
2013-08-14,14.0,69061703,Theft From Building,9040,Wednesday
2013-12-01,20.0,69064498,Destruction/Damage/Vandalism of Property,9040,Sunday
2013-12-06,21.0,69064436,Destruction/Damage/Vandalism of Property,9040,Friday
2013-03-22,17.0,69058096,Drug/Narcotic Violations,9040,Friday
2013-09-16,17.0,69062594,Theft From Building,9040,Monday
2013-10-18,19.0,69063506,Drug/Narcotic Violations,9040,Friday
2013-10-14,10.0,69062705,False Pretenses/Swindle/Confidence Game,9040,Monday
2013-10-15,19.0,69062712,Theft From Building,9040,Tuesday
2013-12-07,0.0,69064444,Theft From Building,9040,Saturday
2013-01-31,22.0,69057133,Theft From Building,9040,Thursday
2013-02-27,7.0,69057234,All Other Larceny,9040,Wednesday
2013-04-24,11.0,69059046,Theft From Building,9040,Wednesday
2013-08-02,20.0,69060880,Theft From Building,9040,Friday
2013-09-14,23.0,69062589,Intimidation,9040,Saturday
2013-09-13,14.0,69062591,Burglary/Breaking & Entering,9040,Friday
2013-01-31,9.0,69057217,Theft From Building,9040,Thursday
2013-02-15,8.0,69057179,Destruction/Damage/Vandalism of Property,9040,Friday
2013-02-07,0.0,69057162,Destruction/Damage/Vandalism of Property,9040,Thursday
2013-06-01,7.0,69061697,Theft From Building,9040,Saturday
2013-09-08,18.0,69061781,Drug/Narcotic Violations,9040,Sunday
2013-10-02,20.0,69062662,All Other Larceny,9040,Wednesday
2013-10-04,8.0,69062680,Theft From Building,9040,Friday
2013-12-03,11.0,69064418,Theft From Building,9040,Tuesday
2013-02-18,7.0,69057184,Destruction/Damage/Vandalism of Property,9040,Monday
2013-02-11,14.0,69057163,Theft From Building,9040,Monday
2013-07-16,17.0,69060816,Theft From Building,9040,Tuesday
2013-09-03,15.0,69061751,Theft From Building,9040,Tuesday
2013-11-23,2.0,69063606,Simple Assault,9040,Saturday
2013-12-06,1.0,69064428,Destruction/Damage/Vandalism of Property,9040,Friday
2013-06-12,18.0,69059949,Theft From Building,9040,Wednesday
2013-06-28,17.0,69060813,Theft From Building,9040,Friday
2013-08-12,13.0,69061692,Theft From Building,9040,Monday
2013-09-06,17.0,69061768,Shoplifting,9040,Friday
2013-12-06,9.0,69064429,Shoplifting,9040,Friday
2013-02-07,12.0,69057149,Theft From Building,9040,Thursday
2013-04-16,8.0,69059013,Intimidation,9040,Tuesday
2013-04-29,22.0,69059070,Drug/Narcotic Violations,9040,Monday
2013-09-06,15.0,69061769,Theft From Building,9040,Friday
2013-10-04,16.0,69062683,All Other Larceny,9040,Friday
2013-11-08,2.0,69063565,Drug/Narcotic Violations,9040,Friday
2013-03-26,22.0,69058119,All Other Larceny,9040,Tuesday
2013-07-08,5.0,69060795,Destruction/Damage/Vandalism of Property,9040,Monday
2013-09-05,9.0,69061757,Theft From Motor Vehicle,9040,Thursday
2013-12-09,18.0,69064439,Theft From Building,9040,Monday
2013-12-09,18.0,69064439,Credit Card/Automated Teller Machine Fraud,9040,Monday
2013-01-17,23.0,69056296,Drug/Narcotic Violations,9040,Thursday
2013-02-21,0.0,69057228,Burglary/Breaking & Entering,9040,Thursday
2013-02-21,0.0,69057228,Destruction/Damage/Vandalism of Property,9040,Thursday
2013-03-24,12.0,69058101,Theft From Building,9040,Sunday
2013-04-05,12.0,69058958,Destruction/Damage/Vandalism of Property,9040,Friday
2013-04-10,5.0,69058982,Theft From Building,9040,Wednesday
2013-07-24,18.0,69060851,Theft From Building,9040,Wednesday
2013-05-01,11.0,69059076,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-07-12,13.0,69060803,Simple Assault,9040,Friday
2013-07-19,19.0,69060826,Theft From Building,9040,Friday
2013-09-17,11.0,69062605,All Other Larceny,9040,Tuesday
2013-04-26,18.0,69059064,Theft From Building,9040,Friday
2013-05-23,1.0,69059938,All Other Larceny,9040,Thursday
2013-08-16,17.0,69061715,Destruction/Damage/Vandalism of Property,9040,Friday
2013-12-13,9.0,69064450,Theft From Building,9040,Friday
2013-02-14,14.0,69057221,Theft From Building,9040,Thursday
2013-02-13,19.0,69057172,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-04-09,9.0,69058969,Theft From Building,9040,Tuesday
2013-08-29,18.0,69061733,Theft From Building,9040,Thursday
2013-01-27,14.0,69057124,Shoplifting,9040,Sunday
2013-01-31,12.0,69057128,Theft From Building,9040,Thursday
2013-01-20,22.0,69056320,Intimidation,9040,Sunday
2013-02-25,15.0,69058059,Theft From Building,9040,Monday
2013-03-27,12.0,69058125,Destruction/Damage/Vandalism of Property,9040,Wednesday
2013-06-21,14.0,69059977,All Other Larceny,9040,Friday
2013-11-14,23.0,69063584,Drug/Narcotic Violations,9040,Thursday
2013-12-18,8.0,69064462,All Other Larceny,9040,Wednesday
2013-01-14,16.0,69056282,Theft From Building,9040,Monday
2013-03-25,0.0,69059051,All Other Larceny,9040,Monday
2013-04-14,15.0,69059004,Theft From Building,9040,Sunday
2013-06-27,19.0,69059987,All Other Larceny,9040,Thursday
