,Unnamed: 0,school,gamedate,type,opponent,conf,result,team_points,opp_points,ot,w,l,streak,arena,rank,gametime,Game String,Start time,US State,Attendance
152,159,michigan,2014-01-02,REG,Minnesota,Big Ten,W,63,60,,9,4,W 3,Williams Arena,-,,Minnesota on January 2 6:00 PM,6:00 PM,MINN.,12225
153,160,michigan,2014-01-05,REG,Northwestern,Big Ten,W,74,51,,10,4,W 4,Crisler Arena,-,,Northwestern on January 5 12:00 PM,12:00 PM,MICH.,12707
154,161,michigan,2014-01-09,REG,Nebraska,Big Ten,W,71,70,,11,4,W 5,Pinnacle Bank Arena,-,,Nebraska on January 9 8:00 PM,8:00 PM,NEB.,15012
155,162,michigan,2014-01-14,REG,Penn State,Big Ten,W,80,67,,12,4,W 6,Crisler Arena,-,,Penn State on January 14 8:00 PM,8:00 PM,MICH.,12707
156,163,michigan,2014-01-18,REG,Wisconsin (3),Big Ten,W,77,70,,13,4,W 7,Kohl Center,-,,Wisconsin on January 18 5:00 PM,5:00 PM,WIS.,17249
157,164,michigan,2014-01-22,REG,Iowa (10),Big Ten,W,75,67,,14,4,W 8,Crisler Arena,21,,Iowa on January 22 7:00 PM,7:00 PM,MICH.,12707
158,165,michigan,2014-01-25,REG,Michigan State (3),Big Ten,W,80,75,,15,4,W 9,Breslin Events Center,21,,Michigan State on January 25 7:00 PM,7:00 PM,MICH.,14797
159,166,michigan,2014-01-30,REG,Purdue,Big Ten,W,75,66,,16,4,W 10,Crisler Arena,10,,Purdue on January 30 9:00 PM,9:00 PM,MICH.,12707
160,167,michigan,2014-02-02,REG,Indiana,Big Ten,L,52,63,,16,5,L 1,Assembly Hall,10,,Indiana on February 2 1:00 PM,1:00 PM,IND.,17472
161,168,michigan,2014-02-05,REG,Nebraska,Big Ten,W,79,50,,17,5,W 1,Crisler Arena,10,,Nebraska on February 5 6:30 PM,6:30 PM,MICH.,12707
162,169,michigan,2014-02-08,REG,Iowa (17),Big Ten,L,67,85,,17,6,L 1,Carver-Hawkeye Arena,10,,Iowa on February 8 1:00 PM,1:00 PM,IOWA,15400
163,170,michigan,2014-02-11,REG,Ohio State (22),Big Ten,W,70,60,,18,6,W 1,Value City Arena,15,,Ohio State on February 11 9:00 PM,9:00 PM,OHIO,18809
164,171,michigan,2014-02-16,REG,Wisconsin (21),Big Ten,L,62,75,,18,7,L 1,Crisler Arena,15,,Wisconsin on February 16 1:00 PM,1:00 PM,MICH.,12707
165,172,michigan,2014-02-23,REG,Michigan State (13),Big Ten,W,79,70,,19,7,W 1,Crisler Arena,20,,Michigan State on February 23 12:00 PM,12:00 PM,MICH.,12707
166,173,michigan,2014-02-26,REG,Purdue,Big Ten,W,77,76,OT,20,7,W 2,Mackey Arena,16,,Purdue on February 26 7:00 PM,7:00 PM,IND.,13821
167,174,michigan,2014-03-01,REG,Minnesota,Big Ten,W,66,56,,21,7,W 3,Crisler Arena,16,,Minnesota on March 1 6:00 PM,6:00 PM,MICH.,12707
168,175,michigan,2014-03-04,REG,Illinois,Big Ten,W,84,53,,22,7,W 4,Assembly Hall,12,,Illinois on March 4 6:00 PM,6:00 PM,ILL.,16618
169,176,michigan,2014-03-08,REG,Indiana,Big Ten,W,84,80,,23,7,W 5,Crisler Arena,12,,Indiana on March 8 6:00 PM,6:00 PM,MICH.,12707
170,178,michigan,2014-03-14,CTOURN,Illinois,Big Ten,W,64,63,,24,7,W 6,Conseco Fieldhouse,8,,Illinois (#9) on March 14 12:00 PM,12:00 PM,IND.,18596
171,179,michigan,2014-03-15,CTOURN,Ohio State (24),Big Ten,W,72,69,,25,7,W 7,,8,,Ohio State (#5) on March 15 1:40 PM,1:40 PM,IND.,18626
172,180,michigan,2014-03-16,CTOURN,Michigan State (22),Big Ten,L,55,69,,25,8,L 1,Conseco Fieldhouse,8,,Michigan State (#3) on March 16 3:30 PM,3:30 PM,IND.,18582
173,182,michigan,2014-03-20,NCAA,Wofford,Southern,W,57,40,,26,8,W 1,Bradley Center,,,Wofford (#15) on March 20 6:10 PM,6:10 PM,WIS.,17331
174,183,michigan,2014-03-22,NCAA,Texas,Big 12,W,79,65,,27,8,W 2,Bradley Center,,,Texas (#7) on March 22 4:15 PM,4:15 PM,WIS.,18206
175,184,michigan,2014-03-28,NCAA,Tennessee,SEC,W,73,71,,28,8,W 3,Lucas Oil Stadium,,,Tennessee (#11) on March 28 7:15 PM,7:15 PM,IND.,41072
176,185,michigan,2014-03-30,NCAA,Kentucky,SEC,L,72,75,,28,9,L 1,Lucas Oil Stadium,,,Kentucky (#8) on March 30 5:05 PM,5:05 PM,IND.,35551
177,186,michigan,2014-11-15,REG,Hillsdale,,W,92,68,,1,0,W 1,Crisler Arena,24,2:00p,Hillsdale College on November 15 2:00 PM,2:00 PM,MICH.,12707
178,187,michigan,2014-11-17,REG,Bucknell,Patriot,W,77,53,,2,0,W 2,Crisler Arena,24,8:00p,Bucknell on November 17 8:00 PM,8:00 PM,MICH.,12181
179,188,michigan,2014-11-20,REG,Detroit Mercy,Horizon,W,71,62,,3,0,W 3,Crisler Arena,24,6:00p,Detroit on November 20 6:00 PM,6:00 PM,MICH.,11812
180,189,michigan,2014-11-24,REG,Oregon,Pac-12,W,70,63,,4,0,W 4,Barclays Center,19,9:45p,Oregon on November 24 9:00 PM,9:00 PM,N.Y.,8465
181,190,michigan,2014-11-25,REG,Villanova (12),Big East,L,55,60,,4,1,L 1,Barclays Center,19,10:15p,Villanova on November 25 10:00 PM,10:00 PM,N.Y.,8093
182,191,michigan,2014-11-29,REG,Nicholls State,Southland,W,91,62,,5,1,W 1,Crisler Arena,19,4:00p,Nicholls State on November 29 4:00 PM,4:00 PM,MICH.,11139
183,192,michigan,2014-12-02,REG,Syracuse,ACC,W,68,65,,6,1,W 2,Crisler Arena,17,7:30p,Syracuse on December 2 7:30 PM,7:30 PM,MICH.,12707
184,193,michigan,2014-12-06,REG,NJIT,Ind,L,70,72,,6,2,L 1,Crisler Arena,17,12:00p,NJIT on December 6 12:00 PM,12:00 PM,MICH.,12226
185,194,michigan,2014-12-09,REG,Eastern Michigan,MAC,L,42,45,,6,3,L 2,Crisler Arena,-,9:00p,Eastern Michigan on December 9 9:00 PM,9:00 PM,MICH.,11926
186,195,michigan,2014-12-13,REG,Arizona (3),Pac-12,L,53,80,,6,4,L 3,McKale Center,-,5:15p,Arizona on December 13 3:25 PM,3:25 PM,ARIZ.,14655
187,196,michigan,2014-12-20,REG,Southern Methodist,AAC,L,51,62,,6,5,L 4,Crisler Arena,-,12:00p,SMU on December 20 12:00 PM,12:00 PM,MICH.,12221
188,197,michigan,2014-12-22,REG,Coppin State,MEAC,W,72,56,,7,5,W 1,Crisler Arena,-,8:00p,Coppin State on December 22 8:00 PM,8:00 PM,MICH.,11989
189,198,michigan,2014-12-30,REG,Illinois,Big Ten,W,73,65,OT,8,5,W 2,Crisler Arena,-,3:00p,Illinois on December 30 3:00 PM,3:00 PM,MICH.,12707
190,199,michigan,2015-01-03,REG,Purdue,Big Ten,L,51,64,,8,6,L 1,Mackey Arena,-,2:15p,Purdue on January 3 2:15 PM,2:15 PM,IND.,11271
191,200,michigan,2015-01-06,REG,Penn State,Big Ten,W,73,64,,9,6,W 1,Bryce Jordan Center,-,7:00p,Penn State on January 6 7:00 PM,7:00 PM,PA.,5342
192,201,michigan,2015-01-10,REG,Minnesota,Big Ten,W,62,57,,10,6,W 2,Crisler Arena,-,1:00p,Minnesota on January 10 1:00 PM,1:00 PM,MICH.,12707
193,202,michigan,2015-01-13,REG,Ohio State,Big Ten,L,52,71,,10,7,L 1,Value City Arena,-,7:00p,Ohio State on January 13 7:00 PM,7:00 PM,OHIO,15548
194,203,michigan,2015-01-17,REG,Northwestern,Big Ten,W,56,54,,11,7,W 1,Crisler Arena,-,8:15p,Northwestern on January 17 8:15 PM,8:15 PM,MICH.,12707
195,204,michigan,2015-01-20,REG,Rutgers,Big Ten,W,54,50,,12,7,W 2,Louis Brown Athletic Center,-,6:30p,Rutgers on January 20 6:30 PM,6:30 PM,N.J.,7365
196,205,michigan,2015-01-24,REG,Wisconsin (6),Big Ten,L,64,69,OT,12,8,L 1,Crisler Arena,-,7:00p,Wisconsin on January 24 7:00 PM,7:00 PM,MICH.,12579
197,206,michigan,2015-01-27,REG,Nebraska,Big Ten,W,58,44,,13,8,W 1,Crisler Arena,-,7:00p,Nebraska on January 27 7:00 PM,7:00 PM,MICH.,12115
198,207,michigan,2015-02-01,REG,Michigan State,Big Ten,L,66,76,OT,13,9,L 1,Breslin Events Center,-,1:00p,Michigan State on February 1 1:00 PM,1:00 PM,MICH.,14797
199,208,michigan,2015-02-05,REG,Iowa,Big Ten,L,54,72,,13,10,L 2,Crisler Arena,-,7:00p,Iowa on February 5 7:00 PM,7:00 PM,MICH.,12490
200,209,michigan,2015-02-08,REG,Indiana,Big Ten,L,67,70,,13,11,L 3,Assembly Hall,-,1:00p,Indiana on February 8 1:00 PM,1:00 PM,IND.,17472
201,210,michigan,2015-02-12,REG,Illinois,Big Ten,L,52,64,OT,13,12,L 4,State Farm Center,-,9:00p,Illinois on February 12 8:00 PM,8:00 PM,ILL.,17087
202,211,michigan,2015-02-17,REG,Michigan State,Big Ten,L,67,80,,13,13,L 5,Crisler Arena,-,9:00p,Michigan State on February 17 9:00 PM,9:00 PM,MICH.,12502
203,212,michigan,2015-02-22,REG,Ohio State (24),Big Ten,W,64,57,,14,13,W 1,Crisler Arena,-,1:00p,Ohio State on February 22 1:00 PM,1:00 PM,MICH.,12618
204,213,michigan,2015-02-28,REG,Maryland (14),Big Ten,L,56,66,,14,14,L 1,Xfinity Center,-,12:00p,Maryland on February 28 12:00 PM,12:00 PM,MD.,17950
205,214,michigan,2015-03-03,REG,Northwestern,Big Ten,L,78,82,2OT,14,15,L 2,Welsh-Ryan Arena,-,9:00p,Northwestern on March 3 8:00 PM,8:00 PM,ILL.,7673
206,215,michigan,2015-03-07,REG,Rutgers,Big Ten,W,79,69,,15,15,W 1,Crisler Arena,-,2:15p,Rutgers on March 7 2:15 PM,2:15 PM,MICH.,12357
207,217,michigan,2015-03-12,CTOURN,Illinois,Big Ten,W,73,55,,16,15,W 2,United Center,-,12:00p,Illinois (#8) on March 12 11:00 AM,11:00 AM,ILL.,16028
208,218,michigan,2015-03-13,CTOURN,Wisconsin (6),Big Ten,L,60,71,,16,16,L 1,United Center,-,12:00p,Wisconsin (#1) on March 13 11:00 AM,11:00 AM,ILL.,17290
209,219,michigan,2015-11-13,REG,Northern Michigan,,W,70,44,,1,0,W 1,Crisler Arena,25,7:00p,Northern Michigan on November 13 7:00 PM,7:00 PM,MICH.,10267
210,220,michigan,2015-11-16,REG,Elon,CAA,W,88,68,,2,0,W 2,Crisler Arena,24,7:00p,Elon on November 16 7:00 PM,7:00 PM,MICH.,9716
211,221,michigan,2015-11-20,REG,Xavier,Big East,L,70,86,,2,1,L 1,Crisler Arena,24,9:00p,Xavier on November 20 9:00 PM,9:00 PM,MICH.,11967
212,222,michigan,2015-11-25,REG,Connecticut (18),AAC,L,60,74,,2,2,L 2,Imperial Arena at Atlantis Resort,-,9:30p,Connecticut on November 25 9:30 PM,9:30 PM,BAHAMAS,2491
213,223,michigan,2015-11-26,REG,Charlotte,CUSA,W,102,47,,3,2,W 1,Imperial Arena at Atlantis Resort,-,9:30p,Charlotte on November 26 9:30 PM,9:30 PM,BAHAMAS,1339
214,224,michigan,2015-11-27,REG,Texas,Big 12,W,78,72,,4,2,W 2,Imperial Arena at Atlantis Resort,-,7:00p,Texas on November 27 7:00 PM,7:00 PM,BAHAMAS,1357
215,225,michigan,2015-12-01,REG,NC State,ACC,W,66,59,,5,2,W 3,PNC Arena,-,7:00p,North Carolina State on December 1 7:00 PM,7:00 PM,N.C.,17645
216,226,michigan,2015-12-05,REG,Houston Baptist,Southland,W,82,57,,6,2,W 4,Crisler Arena,-,2:00p,Houston Baptist on December 5 2:00 PM,2:00 PM,MICH.,11399
217,227,michigan,2015-12-08,REG,Southern Methodist (19),AAC,L,58,82,,6,3,L 1,Moody Coliseum ,-,9:00p,SMU on December 8 8:00 PM,8:00 PM,TEXAS,7245
218,228,michigan,2015-12-12,REG,Delaware State,MEAC,W,80,33,,7,3,W 1,Crisler Arena,-,12:00p,Delaware State on December 12 12:00 PM,12:00 PM,MICH.,10599
219,229,michigan,2015-12-15,REG,Northern Kentucky,Horizon,W,77,62,,8,3,W 2,Crisler Arena,-,7:00p,Northern Kentucky on December 15 7:00 PM,7:00 PM,MICH.,10424
220,230,michigan,2015-12-19,REG,Youngstown State,Horizon,W,105,46,,9,3,W 3,Crisler Arena,-,6:00p,Youngstown State on December 19 6:00 PM,6:00 PM,MICH.,10752
221,231,michigan,2015-12-23,REG,Bryant,NEC,W,96,60,,10,3,W 4,Crisler Arena,-,7:00p,Bryant on December 23 7:00 PM,7:00 PM,MICH.,11491
222,232,michigan,2015-12-30,REG,Illinois,Big Ten,W,78,68,,11,3,W 5,State Farm Center,-,3:00p,Illinois on December 30 2:00 PM,2:00 PM,ILL.,13974
223,233,michigan,2016-01-02,REG,Penn State,Big Ten,W,79,56,,12,3,W 6,Crisler Arena,-,12:00p,Penn State on January 2 12:00 PM,12:00 PM,MICH.,12707
224,234,michigan,2016-01-07,REG,Purdue (20),Big Ten,L,70,87,,12,4,L 1,Mackey Arena,-,7:00p,Purdue on January 7 7:00 PM,7:00 PM,IND.,13063
225,235,michigan,2016-01-12,REG,Maryland (3),Big Ten,W,70,67,,13,4,W 1,Crisler Arena,-,9:00p,Maryland on January 12 9:00 PM,9:00 PM,MICH.,12327
226,236,michigan,2016-01-17,REG,Iowa (16),Big Ten,L,71,82,,13,5,L 1,Carver-Hawkeye Arena,-,4:30p,Iowa on January 17 3:30 PM,3:30 PM,IOWA,15400
227,237,michigan,2016-01-20,REG,Minnesota,Big Ten,W,74,69,,14,5,W 1,Crisler Arena,-,8:30p,Minnesota on January 20 8:30 PM,8:30 PM,MICH.,11726
228,238,michigan,2016-01-23,REG,Nebraska,Big Ten,W,81,68,,15,5,W 2,Pinnacle Bank Arena,-,2:00p,Nebraska on January 23 1:00 PM,1:00 PM,NEB.,15745
229,239,michigan,2016-01-27,REG,Rutgers,Big Ten,W,68,57,,16,5,W 3,Crisler Arena,-,7:00p,Rutgers on January 27 7:00 PM,7:00 PM,MICH.,11519
230,240,michigan,2016-01-30,REG,Penn State,Big Ten,W,79,72,,17,5,W 4,Madison Square Garden (IV),-,12:00p,Penn State on January 30 12:00 PM,12:00 PM,N.Y.,12108
231,241,michigan,2016-02-02,REG,Indiana (22),Big Ten,L,67,80,,17,6,L 1,Crisler Arena,-,9:00p,Indiana on February 2 9:00 PM,9:00 PM,MICH.,12312
232,242,michigan,2016-02-06,REG,Michigan State (10),Big Ten,L,73,89,,17,7,L 2,Crisler Arena,-,2:00p,Michigan State on February 6 2:00 PM,2:00 PM,MICH.,12707
233,243,michigan,2016-02-10,REG,Minnesota,Big Ten,W,82,74,,18,7,W 1,Williams Arena,-,9:00p,Minnesota on February 10 8:00 PM,8:00 PM,MINN.,11137
234,244,michigan,2016-02-13,REG,Purdue (18),Big Ten,W,61,56,,19,7,W 2,Crisler Arena,-,2:00p,Purdue on February 13 2:00 PM,2:00 PM,MICH.,12707
235,245,michigan,2016-02-16,REG,Ohio State,Big Ten,L,66,76,,19,8,L 1,Value City Arena,-,7:00p,Ohio State on February 16 7:00 PM,7:00 PM,OHIO,17088
236,246,michigan,2016-02-21,REG,Maryland (6),Big Ten,L,82,86,,19,9,L 2,Xfinity Center,-,1:00p,Maryland on February 21 1:00 PM,1:00 PM,MD.,17950
237,247,michigan,2016-02-24,REG,Northwestern,Big Ten,W,72,63,,20,9,W 1,Crisler Arena,-,7:00p,Northwestern on February 24 7:00 PM,7:00 PM,MICH.,12071
238,248,michigan,2016-02-28,REG,Wisconsin,Big Ten,L,57,68,,20,10,L 1,Kohl Center,-,6:00p,Wisconsin on February 28 5:00 PM,5:00 PM,WIS.,17287
239,249,michigan,2016-03-05,REG,Iowa (16),Big Ten,L,61,71,,20,11,L 2,Crisler Arena,-,8:00p,Iowa on March 5 8:00 PM,8:00 PM,MICH.,12707
240,251,michigan,2016-03-10,CTOURN,Northwestern,Big Ten,W,72,70,OT,21,11,W 1,Bankers Life Fieldhouse,-,12:00p,Northwestern (#9) on March 10 12:00 PM,12:00 PM,IND.,15707
241,252,michigan,2016-03-11,CTOURN,Indiana (10),Big Ten,W,72,69,,22,11,W 2,Bankers Life Fieldhouse,-,12:00p,Indiana (#1) on March 11 12:00 PM,12:00 PM,IND.,18355
242,253,michigan,2016-03-12,CTOURN,Purdue (13),Big Ten,L,59,76,,22,12,L 1,Bankers Life Fieldhouse,-,1:00p,Purdue (#4) on March 12 1:00 PM,1:00 PM,IND.,18339
243,255,michigan,2016-03-16,NCAA,Tulsa,AAC,W,67,62,,23,12,W 1,University of Dayton Arena,,9:10p,Tulsa (#11) on March 16 9:10 PM,9:10 PM,OHIO,12582
244,256,michigan,2016-03-18,NCAA,Notre Dame,ACC,L,63,70,,23,13,L 1,Barclays Center,,10:12p,Notre Dame (#6) on March 18 9:40 PM,9:40 PM,N.Y.,17502
245,257,michigan,2016-11-11,REG,Howard,MEAC,W,76,58,,1,0,W 1,Crisler Arena,-,9:00p,Howard on November 11 9:00 PM,9:00 PM,MICH.,10094
246,258,michigan,2016-11-13,REG,IUPUI,Summit,W,77,65,,2,0,W 2,Crisler Arena,-,12:00p,IUPUI on November 13 12:00 PM,12:00 PM,MICH.,10812
247,259,michigan,2016-11-17,REG,Marquette,Big East,W,79,61,,3,0,W 3,Madison Square Garden (IV),-,9:30p,Marquette on November 17 9:30 PM,9:30 PM,N.Y.,8126
248,260,michigan,2016-11-18,REG,Southern Methodist,AAC,W,76,54,,4,0,W 4,Madison Square Garden (IV),-,7:00p,SMU on November 18 7:00 PM,7:00 PM,N.Y.,8088
249,261,michigan,2016-11-23,REG,South Carolina,SEC,L,46,61,,4,1,L 1,The Colonial Life Arena,25,5:00p,South Carolina on November 23 5:00 PM,5:00 PM,S.C.,13051
250,262,michigan,2016-11-26,REG,Mount St. Mary's,NEC,W,64,47,,5,1,W 1,Crisler Arena,25,7:00p,Mount St. Mary's on November 26 7:00 PM,7:00 PM,MICH.,9410
251,263,michigan,2016-11-30,REG,Virginia Tech,ACC,L,70,73,,5,2,L 1,Crisler Arena,-,7:15p,Virginia Tech on November 30 7:00 PM,7:00 PM,MICH.,9981
252,264,michigan,2016-12-03,REG,Kennesaw State,A-Sun,W,82,55,,6,2,W 1,Crisler Arena,-,1:00p,Kennesaw State on December 3 1:00 PM,1:00 PM,MICH.,10687
253,265,michigan,2016-12-06,REG,Texas,Big 12,W,53,50,,7,2,W 2,Crisler Arena,-,9:00p,Texas on December 6 9:00 PM,9:00 PM,MICH.,10613
254,266,michigan,2016-12-10,REG,UCLA (2),Pac-12,L,84,102,,7,3,L 1,Pauley Pavilion,-,8:00p,UCLA on December 10 5:00 PM,5:00 PM,CALIF.,13571
255,267,michigan,2016-12-13,REG,Central Arkansas,Southland,W,97,53,,8,3,W 1,Crisler Arena,-,9:00p,Central Arkansas on December 13 9:00 PM,9:00 PM,MICH.,9486
256,268,michigan,2016-12-17,REG,Maryland-Eastern Shore,MEAC,W,98,49,,9,3,W 2,Crisler Arena,-,3:00p,Maryland Eastern Shore on December 17 3:00 PM,3:00 PM,MICH.,12020
257,269,michigan,2016-12-22,REG,Furman,Southern,W,68,62,,10,3,W 3,Crisler Arena,-,7:00p,Furman on December 22 7:00 PM,7:00 PM,MICH.,10634
258,270,michigan,2017-01-01,REG,Iowa,Big Ten,L,83,86,OT,10,4,L 1,Carver-Hawkeye Arena,-,2:15p,Iowa on January 1 1:15 PM,1:15 PM,IOWA,13988
259,271,michigan,2017-01-04,REG,Penn State,Big Ten,W,72,69,,11,4,W 1,Crisler Arena,-,8:30p,Penn State on January 4 8:30 PM,8:30 PM,MICH.,11385
260,272,michigan,2017-01-07,REG,Maryland,Big Ten,L,70,77,,11,5,L 1,Crisler Arena,-,3:15p,Maryland on January 7 3:15 PM,3:15 PM,MICH.,11527
261,273,michigan,2017-01-11,REG,Illinois,Big Ten,L,69,85,,11,6,L 2,State Farm Center,-,9:00p,Illinois on January 11 8:00 PM,8:00 PM,ILL.,11404
262,274,michigan,2017-01-14,REG,Nebraska,Big Ten,W,91,85,,12,6,W 1,Crisler Arena,-,2:00p,Nebraska on January 14 2:00 PM,2:00 PM,MICH.,11145
263,275,michigan,2017-01-17,REG,Wisconsin (17),Big Ten,L,64,68,,12,7,L 1,Kohl Center,-,9:00p,Wisconsin on January 17 8:00 PM,8:00 PM,WIS.,17287
264,276,michigan,2017-01-21,REG,Illinois,Big Ten,W,66,57,,13,7,W 1,Crisler Arena,-,2:15p,Illinois on January 21 2:15 PM,2:15 PM,MICH.,12234
265,277,michigan,2017-01-26,REG,Indiana,Big Ten,W,90,60,,14,7,W 2,Crisler Arena,-,9:00p,Indiana on January 26 9:00 PM,9:00 PM,MICH.,11267
266,278,michigan,2017-01-29,REG,Michigan State,Big Ten,L,62,70,,14,8,L 1,Breslin Events Center,-,1:00p,Michigan State on January 29 1:00 PM,1:00 PM,MICH.,14797
267,279,michigan,2017-02-04,REG,Ohio State,Big Ten,L,66,70,,14,9,L 2,Crisler Arena,-,6:00p,Ohio State on February 4 6:00 PM,6:00 PM,MICH.,12196
268,280,michigan,2017-02-07,REG,Michigan State,Big Ten,W,86,57,,15,9,W 1,Crisler Arena,-,9:00p,Michigan State on February 7 9:00 PM,9:00 PM,MICH.,11864
269,281,michigan,2017-02-12,REG,Indiana,Big Ten,W,75,63,,16,9,W 2,Assembly Hall,-,1:00p,Indiana on February 12 1:00 PM,1:00 PM,IND.,17222
270,282,michigan,2017-02-16,REG,Wisconsin (11),Big Ten,W,64,58,,17,9,W 3,Crisler Arena,-,7:00p,Wisconsin on February 16 7:00 PM,7:00 PM,MICH.,12128
271,283,michigan,2017-02-19,REG,Minnesota,Big Ten,L,78,83,OT,17,10,L 1,Williams Arena,-,7:00p,Minnesota on February 19 6:00 PM,6:00 PM,MINN.,12091
272,284,michigan,2017-02-22,REG,Rutgers,Big Ten,W,68,64,,18,10,W 1,Louis Brown Athletic Center,-,6:30p,Rutgers on February 22 6:30 PM,6:30 PM,N.J.,5369
273,285,michigan,2017-02-25,REG,Purdue (14),Big Ten,W,82,70,,19,10,W 2,Crisler Arena,-,4:00p,Purdue on February 25 4:00 PM,4:00 PM,MICH.,12707
274,286,michigan,2017-03-01,REG,Northwestern,Big Ten,L,65,67,,19,11,L 1,Welsh-Ryan Arena,-,7:00p,Northwestern on March 1 6:00 PM,6:00 PM,ILL.,8117
275,287,michigan,2017-03-05,REG,Nebraska,Big Ten,W,93,57,,20,11,W 1,Pinnacle Bank Arena,-,8:00p,Nebraska on March 5 7:00 PM,7:00 PM,NEB.,15293
276,289,michigan,2017-03-09,CTOURN,Illinois,Big Ten,W,75,55,,21,11,W 2,Verizon Center,-,12:00p,Illinois (#9) on March 9 12:20 PM,12:20 PM,D.C.,12189
277,290,michigan,2017-03-10,CTOURN,Purdue (13),Big Ten,W,74,70,OT,22,11,W 3,Verizon Center,-,12:00p,Purdue (#1) on March 10 12:00 PM,12:00 PM,D.C.,12334
278,291,michigan,2017-03-11,CTOURN,Minnesota,Big Ten,W,84,77,,23,11,W 4,Verizon Center,-,1:00p,Minnesota (#4) on March 11 1:00 PM,1:00 PM,D.C.,13984
279,292,michigan,2017-03-12,CTOURN,Wisconsin (24),Big Ten,W,71,56,,24,11,W 5,Verizon Center,-,3:00p,Wisconsin (#2) on March 12 3:00 PM,3:00 PM,D.C.,12902
280,294,michigan,2017-03-17,NCAA,Oklahoma State,Big 12,W,92,91,,25,11,W 6,Bankers Life Fieldhouse,,12:15p,Oklahoma State (#10) on March 17 12:15 PM,12:15 PM,IND.,18255
281,295,michigan,2017-03-19,NCAA,Louisville (10),ACC,W,73,69,,26,11,W 7,Bankers Life Fieldhouse,,12:10p,Louisville (#2) on March 19 12:10 PM,12:10 PM,IND.,18293
282,296,michigan,2017-03-23,NCAA,Oregon (9),Pac-12,L,68,69,,26,12,L 1,Sprint Center,,7:09p,Oregon (#3) on March 23 6:09 PM,6:09 PM,MO.,18475
283,297,michigan,2017-11-11,REG,North Florida,A-Sun,W,86,66,,1,0,W 1,Crisler Arena,-,7:30p,North Florida on November 11 7:30 PM,7:30 PM,MICH.,9916
284,298,michigan,2017-11-13,REG,Central Michigan,MAC,W,72,65,,2,0,W 2,Crisler Arena,-,7:00p,Central Michigan on November 13 7:00 PM,7:00 PM,MICH.,8951
285,299,michigan,2017-11-16,REG,Southern Mississippi,CUSA,W,61,47,,3,0,W 3,Crisler Arena,-,7:00p,Southern Mississippi on November 16 7:00 PM,7:00 PM,MICH.,8765
286,300,michigan,2017-11-20,REG,Louisiana State,SEC,L,75,77,,3,1,L 1,Lahaina Civic Center,-,11:00p,LSU on November 20 6:30 PM HT,6:30 PM,HAWAI'I,2400
287,301,michigan,2017-11-21,REG,Chaminade,,W,102,64,,4,1,W 1,Lahaina Civic Center,-,8:00p,Chaminade on November 21 3:00 PM HT,3:00 PM,HAWAI'I,2400
288,302,michigan,2017-11-22,REG,Virginia Commonwealth,A-10,W,68,60,,5,1,W 2,Lahaina Civic Center,-,5:00p,VCU on November 22 Noon HT,Noon,HAWAI'I,2400
289,303,michigan,2017-11-26,REG,UC Riverside,Big West,W,87,42,,6,1,W 3,Crisler Arena,-,4:00p,UC Riverside on November 26 4:00 PM,4:00 PM,MICH.,9841
290,304,michigan,2017-11-29,REG,North Carolina (13),ACC,L,71,86,,6,2,L 1,Dean Smith Center,-,7:30p,North Carolina on November 29 7:30 PM,7:30 PM,N.C.,19036
291,305,michigan,2017-12-02,REG,Indiana,Big Ten,W,69,55,,7,2,W 1,Crisler Arena,-,12:30p,Indiana on December 2 12:30 PM,12:30 PM,MICH.,11661
292,306,michigan,2017-12-04,REG,Ohio State,Big Ten,L,62,71,,7,3,L 1,Value City Arena,-,6:30p,Ohio State on December 4 6:30 PM,6:30 PM,OHIO,12546
293,307,michigan,2017-12-09,REG,UCLA,Pac-12,W,78,69,OT,8,3,W 1,Crisler Arena,-,12:00p,UCLA on December 9 Noon,Noon,MICH.,12137
294,308,michigan,2017-12-12,REG,Texas,Big 12,W,59,52,,9,3,W 2,Frank Erwin Center,-,9:00p,Texas on December 12 8:00 PM CT,8:00 PM,TEXAS,12504
295,309,michigan,2017-12-16,REG,Detroit Mercy,Horizon,W,90,58,,10,3,W 3,Little Caesars Arena,-,12:00p,Detroit on December 16 Noon,Noon,MICH. (LITTLE CAESARS ARENA),20645
296,310,michigan,2017-12-21,REG,Alabama A&M,SWAC,W,97,47,,11,3,W 4,Crisler Arena,-,9:00p,Alabama A&M on December 21 9:00 PM,9:00 PM,MICH.,9325
297,311,michigan,2017-12-30,REG,Jacksonville,A-Sun,W,76,51,,12,3,W 5,Crisler Arena,-,6:00p,Jacksonville on December 30 6:00 PM,6:00 PM,MICH.,12707
298,312,michigan,2018-01-02,REG,Iowa,Big Ten,W,75,68,,13,3,W 6,Carver-Hawkeye Arena,-,7:00p,Iowa on January 2 6:00 PM CT,6:00 PM,IOWA,11363
299,313,michigan,2018-01-06,REG,Illinois,Big Ten,W,79,69,,14,3,W 7,Crisler Arena,-,12:00p,Illinois on January 6 Noon,Noon,MICH.,11888
300,314,michigan,2018-01-09,REG,Purdue (5),Big Ten,L,69,70,,14,4,L 1,Crisler Arena,-,9:00p,Purdue on January 9 9:00 PM,9:00 PM,MICH.,10164
